País de nacimiento;Nacionalidad;Periodo;Total
Total;Total;2022S1;478.990
Total;Total;2021S2;327.527
Total;Total;2021S1;201.329
Total;Total;2020S2;219.889
Total;Total;2020S1;248.029
Total;Total;2019S2;400.539
Total;Total;2019S1;349.941
Total;Total;2018S2;357.454
Total;Total;2018S1;286.230
Total;Total;2017S2;298.062
Total;Total;2017S1;234.070
Total;Total;2016S2;227.829
Total;Total;2016S1;186.918
Total;Total;2015S2;187.455
Total;Total;2015S1;154.659
Total;Total;2014S2;167.180
Total;Total;2014S1;138.274
Total;Total;2013S2;152.976
Total;Total;2013S1;127.796
Total;Total;2012S2;150.849
Total;Total;2012S1;153.205
Total;Total;2011S2;194.527
Total;Total;2011S1;176.808
Total;Total;2010S2;186.990
Total;Total;2010S1;173.714
Total;Total;2009S2;187.872
Total;Total;2009S1;205.091
Total;Total;2008S2;269.302
Total;Total;2008S1;329.772
Total;Española;2022S1;37.209
Total;Española;2021S2;43.898
Total;Española;2021S1;28.385
Total;Española;2020S2;28.570
Total;Española;2020S1;24.198
Total;Española;2019S2;45.684
Total;Española;2019S1;38.774
Total;Española;2018S2;45.972
Total;Española;2018S1;37.714
Total;Española;2017S2;44.907
Total;Española;2017S1;33.275
Total;Española;2016S2;34.942
Total;Española;2016S1;27.631
Total;Española;2015S2;29.713
Total;Española;2015S1;22.396
Total;Española;2014S2;23.669
Total;Española;2014S1;17.299
Total;Española;2013S2;18.166
Total;Española;2013S1;14.255
Total;Española;2012S2;16.890
Total;Española;2012S1;14.675
Total;Española;2011S2;19.707
Total;Española;2011S1;15.735
Total;Española;2010S2;17.090
Total;Española;2010S1;13.329
Total;Española;2009S2;15.324
Total;Española;2009S1;12.271
Total;Española;2008S2;15.663
Total;Española;2008S1;16.038
Total;Extranjero;2022S1;441.781
Total;Extranjero;2021S2;283.629
Total;Extranjero;2021S1;172.944
Total;Extranjero;2020S2;191.319
Total;Extranjero;2020S1;223.831
Total;Extranjero;2019S2;354.855
Total;Extranjero;2019S1;311.167
Total;Extranjero;2018S2;311.482
Total;Extranjero;2018S1;248.516
Total;Extranjero;2017S2;253.155
Total;Extranjero;2017S1;200.795
