Comunidades;Edad (grupos quinquenales);Sexo;Periodo;Total
Total Nacional;Todas las edades;Total;1 de enero de 2022;47.475.420
Total Nacional;Todas las edades;Total;1 de enero de 2021;47.385.107
Total Nacional;Todas las edades;Total;1 de enero de 2020;47.450.795
Total Nacional;Todas las edades;Total;1 de enero de 2019;47.026.208
Total Nacional;Todas las edades;Total;1 de enero de 2018;46.722.980
Total Nacional;Todas las edades;Total;1 de enero de 2017;46.572.132
Total Nacional;Todas las edades;Total;1 de enero de 2016;46.557.008
Total Nacional;Todas las edades;Total;1 de enero de 2015;46.624.382
Total Nacional;Todas las edades;Total;1 de enero de 2014;46.771.341
Total Nacional;Todas las edades;Total;1 de enero de 2013;47.129.783
Total Nacional;Todas las edades;Total;1 de enero de 2012;47.265.321
Total Nacional;Todas las edades;Total;1 de enero de 2011;47.190.493
Total Nacional;Todas las edades;Total;1 de enero de 2010;47.021.031
Total Nacional;Todas las edades;Total;1 de enero de 2009;46.745.807
Total Nacional;Todas las edades;Total;1 de enero de 2008;46.157.822
Total Nacional;Todas las edades;Total;1 de enero de 2007;45.200.737
Total Nacional;Todas las edades;Total;1 de enero de 2006;44.708.964
Total Nacional;Todas las edades;Total;1 de enero de 2005;44.108.530
Total Nacional;Todas las edades;Total;1 de enero de 2004;43.197.684
Total Nacional;Todas las edades;Total;1 de enero de 2003;42.717.064
Total Nacional;Todas las edades;Total;1 de enero de 2002;""
Total Nacional;Todas las edades;Total;1 de enero de 2001;""
Total Nacional;Todas las edades;Total;1 de enero de 2000;""
Total Nacional;Todas las edades;Total;1 de enero de 1999;""
Total Nacional;Todas las edades;Total;1 de enero de 1998;""
Total Nacional;Todas las edades;Hombres;1 de enero de 2022;23.265.381
Total Nacional;Todas las edades;Hombres;1 de enero de 2021;23.222.953
Total Nacional;Todas las edades;Hombres;1 de enero de 2020;23.255.590
Total Nacional;Todas las edades;Hombres;1 de enero de 2019;23.042.428
Total Nacional;Todas las edades;Hombres;1 de enero de 2018;22.896.602
Total Nacional;Todas las edades;Hombres;1 de enero de 2017;22.832.861
Total Nacional;Todas las edades;Hombres;1 de enero de 2016;22.843.610
Total Nacional;Todas las edades;Hombres;1 de enero de 2015;22.890.383
Total Nacional;Todas las edades;Hombres;1 de enero de 2014;22.985.676
Total Nacional;Todas las edades;Hombres;1 de enero de 2013;23.196.386
Total Nacional;Todas las edades;Hombres;1 de enero de 2012;23.298.356
Total Nacional;Todas las edades;Hombres;1 de enero de 2011;23.283.187
Total Nacional;Todas las edades;Hombres;1 de enero de 2010;23.226.185
Total Nacional;Todas las edades;Hombres;1 de enero de 2009;23.116.988
Total Nacional;Todas las edades;Hombres;1 de enero de 2008;22.847.737
Total Nacional;Todas las edades;Hombres;1 de enero de 2007;22.339.962
Total Nacional;Todas las edades;Hombres;1 de enero de 2006;22.100.466
Total Nacional;Todas las edades;Hombres;1 de enero de 2005;21.780.869
Total Nacional;Todas las edades;Hombres;1 de enero de 2004;21.285.247
Total Nacional;Todas las edades;Hombres;1 de enero de 2003;21.034.326
Total Nacional;Todas las edades;Hombres;1 de enero de 2002;""
Total Nacional;Todas las edades;Hombres;1 de enero de 2001;""
Total Nacional;Todas las edades;Hombres;1 de enero de 2000;""
Total Nacional;Todas las edades;Hombres;1 de enero de 1999;""
Total Nacional;Todas las edades;Hombres;1 de enero de 1998;""
Total Nacional;Todas las edades;Mujeres;1 de enero de 2022;24.210.039
Total Nacional;Todas las edades;Mujeres;1 de enero de 2021;24.162.154
Total Nacional;Todas las edades;Mujeres;1 de enero de 2020;24.195.205
Total Nacional;Todas las edades;Mujeres;1 de enero de 2019;23.983.780
Total Nacional;Todas las edades;Mujeres;1 de enero de 2018;23.826.378
Total Nacional;Todas las edades;Mujeres;1 de enero de 2017;23.739.271
Total Nacional;Todas las edades;Mujeres;1 de enero de 2016;23.713.398
Total Nacional;Todas las edades;Mujeres;1 de enero de 2015;23.733.999
Total Nacional;Todas las edades;Mujeres;1 de enero de 2014;23.785.665
Total Nacional;Todas las edades;Mujeres;1 de enero de 2013;23.933.397
Total Nacional;Todas las edades;Mujeres;1 de enero de 2012;23.966.965
Total Nacional;Todas las edades;Mujeres;1 de enero de 2011;23.907.306
Total Nacional;Todas las edades;Mujeres;1 de enero de 2010;23.794.846
Total Nacional;Todas las edades;Mujeres;1 de enero de 2009;23.628.819
Total Nacional;Todas las edades;Mujeres;1 de enero de 2008;23.310.085
Total Nacional;Todas las edades;Mujeres;1 de enero de 2007;22.860.775
Total Nacional;Todas las edades;Mujeres;1 de enero de 2006;22.608.498
Total Nacional;Todas las edades;Mujeres;1 de enero de 2005;22.327.661
Total Nacional;Todas las edades;Mujeres;1 de enero de 2004;21.912.437
Total Nacional;Todas las edades;Mujeres;1 de enero de 2003;21.682.738
Total Nacional;Todas las edades;Mujeres;1 de enero de 2002;""
Total Nacional;Todas las edades;Mujeres;1 de enero de 2001;""
Total Nacional;Todas las edades;Mujeres;1 de enero de 2000;""
Total Nacional;Todas las edades;Mujeres;1 de enero de 1999;""
Total Nacional;Todas las edades;Mujeres;1 de enero de 1998;""
Total Nacional;De 0 a 4 años;Total;1 de enero de 2022;1.809.768
Total Nacional;De 0 a 4 años;Total;1 de enero de 2021;1.887.689
Total Nacional;De 0 a 4 años;Total;1 de enero de 2020;1.981.692
Total Nacional;De 0 a 4 años;Total;1 de enero de 2019;2.038.663
Total Nacional;De 0 a 4 años;Total;1 de enero de 2018;2.079.174
Total Nacional;De 0 a 4 años;Total;1 de enero de 2017;2.126.890
Total Nacional;De 0 a 4 años;Total;1 de enero de 2016;2.174.491
Total Nacional;De 0 a 4 años;Total;1 de enero de 2015;2.230.847
Total Nacional;De 0 a 4 años;Total;1 de enero de 2014;2.302.053
Total Nacional;De 0 a 4 años;Total;1 de enero de 2013;2.395.732
Total Nacional;De 0 a 4 años;Total;1 de enero de 2012;2.443.703
Total Nacional;De 0 a 4 años;Total;1 de enero de 2011;2.470.560
Total Nacional;De 0 a 4 años;Total;1 de enero de 2010;2.463.563
Total Nacional;De 0 a 4 años;Total;1 de enero de 2009;2.424.045
