Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Periodo;Total
Total Nacional;;;Total;2039;23.001.927
Total Nacional;;;Total;2038;22.838.031
Total Nacional;;;Total;2037;22.667.026
Total Nacional;;;Total;2036;22.489.804
Total Nacional;;;Total;2035;22.307.244
Total Nacional;;;Total;2034;22.118.643
Total Nacional;;;Total;2033;21.922.903
Total Nacional;;;Total;2032;21.712.140
Total Nacional;;;Total;2031;21.487.754
Total Nacional;;;Total;2030;21.244.779
Total Nacional;;;Total;2029;20.977.839
Total Nacional;;;Total;2028;20.681.965
Total Nacional;;;Total;2027;20.364.411
Total Nacional;;;Total;2026;20.026.547
Total Nacional;;;Total;2025;19.671.198
Total Nacional;;;Total;2024;19.310.776
Total Nacional;;;1 persona;2039;7.708.869
Total Nacional;;;1 persona;2038;7.582.691
Total Nacional;;;1 persona;2037;7.451.795
Total Nacional;;;1 persona;2036;7.318.562
Total Nacional;;;1 persona;2035;7.183.233
Total Nacional;;;1 persona;2034;7.046.473
Total Nacional;;;1 persona;2033;6.907.696
Total Nacional;;;1 persona;2032;6.762.485
Total Nacional;;;1 persona;2031;6.615.200
Total Nacional;;;1 persona;2030;6.463.401
Total Nacional;;;1 persona;2029;6.303.421
Total Nacional;;;1 persona;2028;6.132.953
Total Nacional;;;1 persona;2027;5.961.960
Total Nacional;;;1 persona;2026;5.789.248
Total Nacional;;;1 persona;2025;5.611.451
Total Nacional;;;1 persona;2024;5.433.969
Total Nacional;;;2 personas;2039;7.202.370
Total Nacional;;;2 personas;2038;7.122.347
Total Nacional;;;2 personas;2037;7.037.709
Total Nacional;;;2 personas;2036;6.947.721
Total Nacional;;;2 personas;2035;6.855.160
Total Nacional;;;2 personas;2034;6.759.871
Total Nacional;;;2 personas;2033;6.663.567
Total Nacional;;;2 personas;2032;6.561.871
Total Nacional;;;2 personas;2031;6.455.648
Total Nacional;;;2 personas;2030;6.344.058
Total Nacional;;;2 personas;2029;6.226.729
Total Nacional;;;2 personas;2028;6.101.831
Total Nacional;;;2 personas;2027;5.970.254
Total Nacional;;;2 personas;2026;5.834.480
Total Nacional;;;2 personas;2025;5.695.627
Total Nacional;;;2 personas;2024;5.554.171
Total Nacional;;;3 personas;2039;3.911.568
Total Nacional;;;3 personas;2038;3.926.621
Total Nacional;;;3 personas;2037;3.941.358
Total Nacional;;;3 personas;2036;3.955.399
Total Nacional;;;3 personas;2035;3.968.280
Total Nacional;;;3 personas;2034;3.979.504
Total Nacional;;;3 personas;2033;3.988.675
Total Nacional;;;3 personas;2032;3.995.120
Total Nacional;;;3 personas;2031;3.997.563
Total Nacional;;;3 personas;2030;3.995.309
Total Nacional;;;3 personas;2029;3.988.031
Total Nacional;;;3 personas;2028;3.974.940
Total Nacional;;;3 personas;2027;3.955.340
Total Nacional;;;3 personas;2026;3.929.228
Total Nacional;;;3 personas;2025;3.899.122
Total Nacional;;;3 personas;2024;3.867.242
Total Nacional;;;4 personas o más;2039;4.179.120
Total Nacional;;;4 personas o más;2038;4.206.372
Total Nacional;;;4 personas o más;2037;4.236.164
Total Nacional;;;4 personas o más;2036;4.268.122
Total Nacional;;;4 personas o más;2035;4.300.571
Total Nacional;;;4 personas o más;2034;4.332.795
Total Nacional;;;4 personas o más;2033;4.362.965
Total Nacional;;;4 personas o más;2032;4.392.664
Total Nacional;;;4 personas o más;2031;4.419.343
Total Nacional;;;4 personas o más;2030;4.442.011
Total Nacional;;;4 personas o más;2029;4.459.658
Total Nacional;;;4 personas o más;2028;4.472.241
Total Nacional;;;4 personas o más;2027;4.476.857
Total Nacional;;;4 personas o más;2026;4.473.591
Total Nacional;;;4 personas o más;2025;4.464.998
Total Nacional;;;4 personas o más;2024;4.455.394
Total Nacional;;;Tamaño medio;2039;2,32
Total Nacional;;;Tamaño medio;2038;2,33
Total Nacional;;;Tamaño medio;2037;2,34
Total Nacional;;;Tamaño medio;2036;2,35
Total Nacional;;;Tamaño medio;2035;2,36
Total Nacional;;;Tamaño medio;2034;2,37
Total Nacional;;;Tamaño medio;2033;2,38
Total Nacional;;;Tamaño medio;2032;2,4
Total Nacional;;;Tamaño medio;2031;2,41
Total Nacional;;;Tamaño medio;2030;2,42
Total Nacional;;;Tamaño medio;2029;2,43
Total Nacional;;;Tamaño medio;2028;2,45
Total Nacional;;;Tamaño medio;2027;2,46
Total Nacional;;;Tamaño medio;2026;2,47
Total Nacional;;;Tamaño medio;2025;2,49
Total Nacional;;;Tamaño medio;2024;2,5
Total Nacional;Andalucía;;Total;2039;4.027.872
Total Nacional;Andalucía;;Total;2038;3.998.168
Total Nacional;Andalucía;;Total;2037;3.967.189
Total Nacional;Andalucía;;Total;2036;3.935.149
Total Nacional;Andalucía;;Total;2035;3.902.257
Total Nacional;Andalucía;;Total;2034;3.868.295
Total Nacional;Andalucía;;Total;2033;3.833.061
Total Nacional;Andalucía;;Total;2032;3.795.269
Total Nacional;Andalucía;;Total;2031;3.755.318
Total Nacional;Andalucía;;Total;2030;3.712.514
Total Nacional;Andalucía;;Total;2029;3.665.514
Total Nacional;Andalucía;;Total;2028;3.613.497
Total Nacional;Andalucía;;Total;2027;3.557.773
Total Nacional;Andalucía;;Total;2026;3.499.034
Total Nacional;Andalucía;;Total;2025;3.437.071
Total Nacional;Andalucía;;Total;2024;3.373.700
Total Nacional;Andalucía;;1 persona;2039;1.329.776
Total Nacional;Andalucía;;1 persona;2038;1.306.426
Total Nacional;Andalucía;;1 persona;2037;1.282.246
Total Nacional;Andalucía;;1 persona;2036;1.257.728
Total Nacional;Andalucía;;1 persona;2035;1.232.803
Total Nacional;Andalucía;;1 persona;2034;1.207.555
Total Nacional;Andalucía;;1 persona;2033;1.181.731
Total Nacional;Andalucía;;1 persona;2032;1.154.689
Total Nacional;Andalucía;;1 persona;2031;1.127.239
Total Nacional;Andalucía;;1 persona;2030;1.099.254
Total Nacional;Andalucía;;1 persona;2029;1.069.331
Total Nacional;Andalucía;;1 persona;2028;1.037.113
Total Nacional;Andalucía;;1 persona;2027;1.004.529
Total Nacional;Andalucía;;1 persona;2026;971.878
Total Nacional;Andalucía;;1 persona;2025;937.903
Total Nacional;Andalucía;;1 persona;2024;903.822
Total Nacional;Andalucía;;2 personas;2039;1.262.876
Total Nacional;Andalucía;;2 personas;2038;1.247.265
Total Nacional;Andalucía;;2 personas;2037;1.230.812
Total Nacional;Andalucía;;2 personas;2036;1.213.395
Total Nacional;Andalucía;;2 personas;2035;1.195.611
Total Nacional;Andalucía;;2 personas;2034;1.177.277
Total Nacional;Andalucía;;2 personas;2033;1.158.740
Total Nacional;Andalucía;;2 personas;2032;1.139.172
Total Nacional;Andalucía;;2 personas;2031;1.118.817
Total Nacional;Andalucía;;2 personas;2030;1.097.358
Total Nacional;Andalucía;;2 personas;2029;1.074.874
Total Nacional;Andalucía;;2 personas;2028;1.051.016
Total Nacional;Andalucía;;2 personas;2027;1.025.786
Total Nacional;Andalucía;;2 personas;2026;999.903
Total Nacional;Andalucía;;2 personas;2025;973.526
Total Nacional;Andalucía;;2 personas;2024;946.351
Total Nacional;Andalucía;;3 personas;2039;715.490
Total Nacional;Andalucía;;3 personas;2038;716.738
Total Nacional;Andalucía;;3 personas;2037;717.875
Total Nacional;Andalucía;;3 personas;2036;718.773
Total Nacional;Andalucía;;3 personas;2035;719.462
Total Nacional;Andalucía;;3 personas;2034;719.850
Total Nacional;Andalucía;;3 personas;2033;719.962
Total Nacional;Andalucía;;3 personas;2032;719.626
Total Nacional;Andalucía;;3 personas;2031;718.628
Total Nacional;Andalucía;;3 personas;2030;716.845
Total Nacional;Andalucía;;3 personas;2029;714.348
Total Nacional;Andalucía;;3 personas;2028;710.975
Total Nacional;Andalucía;;3 personas;2027;706.655
Total Nacional;Andalucía;;3 personas;2026;701.234
Total Nacional;Andalucía;;3 personas;2025;695.282
Total Nacional;Andalucía;;3 personas;2024;689.011
Total Nacional;Andalucía;;4 personas o más;2039;719.730
Total Nacional;Andalucía;;4 personas o más;2038;727.739
Total Nacional;Andalucía;;4 personas o más;2037;736.256
