Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Régimen y estado;Periodo;Total
Total Nacional;;;Viviendas: Total;2025;714.237
Total Nacional;;;Viviendas: Total;2024;640.401
Total Nacional;;;Viviendas: Total;2023;583.651
Total Nacional;;;Viviendas: Total;2022;650.265
Total Nacional;;;Viviendas: Total;2021;566.485
Total Nacional;;;Viviendas: Total;2020;420.238
Total Nacional;;;Viviendas: Total;2019;505.467
Total Nacional;;;Viviendas: Total;2018;517.984
Total Nacional;;;Viviendas: Total;2017;467.644
Total Nacional;;;Viviendas: Total;2016;405.385
Total Nacional;;;Viviendas: Total;2015;355.556
Total Nacional;;;Viviendas: Total;2014;318.830
Total Nacional;;;Viviendas: Total;2013;312.593
Total Nacional;;;Viviendas: Total;2012;318.534
Total Nacional;;;Viviendas: Total;2011;359.824
Total Nacional;;;Viviendas: Total;2010;439.591
Total Nacional;;;Viviendas: Total;2009;413.393
Total Nacional;;;Viviendas: Total;2008;552.080
Total Nacional;;;Viviendas: Total;2007;775.300
Total Nacional;;;Vivienda nueva;2025;155.910
Total Nacional;;;Vivienda nueva;2024;134.338
Total Nacional;;;Vivienda nueva;2023;109.481
Total Nacional;;;Vivienda nueva;2022;116.458
Total Nacional;;;Vivienda nueva;2021;114.030
Total Nacional;;;Vivienda nueva;2020;83.561
Total Nacional;;;Vivienda nueva;2019;92.946
Total Nacional;;;Vivienda nueva;2018;91.716
Total Nacional;;;Vivienda nueva;2017;83.240
Total Nacional;;;Vivienda nueva;2016;75.134
Total Nacional;;;Vivienda nueva;2015;76.954
Total Nacional;;;Vivienda nueva;2014;117.519
Total Nacional;;;Vivienda nueva;2013;143.771
Total Nacional;;;Vivienda nueva;2012;155.890
Total Nacional;;;Vivienda nueva;2011;174.299
Total Nacional;;;Vivienda nueva;2010;220.612
Total Nacional;;;Vivienda nueva;2009;218.775
Total Nacional;;;Vivienda nueva;2008;278.034
Total Nacional;;;Vivienda nueva;2007;326.382
Total Nacional;;;Vivienda usada;2025;558.327
Total Nacional;;;Vivienda usada;2024;506.063
Total Nacional;;;Vivienda usada;2023;474.170
Total Nacional;;;Vivienda usada;2022;533.807
Total Nacional;;;Vivienda usada;2021;452.455
Total Nacional;;;Vivienda usada;2020;336.677
Total Nacional;;;Vivienda usada;2019;412.521
Total Nacional;;;Vivienda usada;2018;426.268
Total Nacional;;;Vivienda usada;2017;384.404
Total Nacional;;;Vivienda usada;2016;330.251
Total Nacional;;;Vivienda usada;2015;278.602
Total Nacional;;;Vivienda usada;2014;201.311
Total Nacional;;;Vivienda usada;2013;168.822
Total Nacional;;;Vivienda usada;2012;162.644
Total Nacional;;;Vivienda usada;2011;185.525
Total Nacional;;;Vivienda usada;2010;218.979
Total Nacional;;;Vivienda usada;2009;194.618
Total Nacional;;;Vivienda usada;2008;274.046
Total Nacional;;;Vivienda usada;2007;448.918
Total Nacional;;;Vivienda libre;2025;665.866
Total Nacional;;;Vivienda libre;2024;592.882
Total Nacional;;;Vivienda libre;2023;539.204
Total Nacional;;;Vivienda libre;2022;599.524
Total Nacional;;;Vivienda libre;2021;518.340
Total Nacional;;;Vivienda libre;2020;382.543
Total Nacional;;;Vivienda libre;2019;457.491
Total Nacional;;;Vivienda libre;2018;468.032
Total Nacional;;;Vivienda libre;2017;422.327
Total Nacional;;;Vivienda libre;2016;363.826
Total Nacional;;;Vivienda libre;2015;319.141
Total Nacional;;;Vivienda libre;2014;286.269
Total Nacional;;;Vivienda libre;2013;277.431
Total Nacional;;;Vivienda libre;2012;280.048
Total Nacional;;;Vivienda libre;2011;312.035
Total Nacional;;;Vivienda libre;2010;389.037
Total Nacional;;;Vivienda libre;2009;371.148
Total Nacional;;;Vivienda libre;2008;502.771
Total Nacional;;;Vivienda libre;2007;708.246
Total Nacional;;;Vivienda protegida;2025;48.371
Total Nacional;;;Vivienda protegida;2024;47.519
Total Nacional;;;Vivienda protegida;2023;44.447
Total Nacional;;;Vivienda protegida;2022;50.741
Total Nacional;;;Vivienda protegida;2021;48.145
Total Nacional;;;Vivienda protegida;2020;37.695
Total Nacional;;;Vivienda protegida;2019;47.976
Total Nacional;;;Vivienda protegida;2018;49.952
Total Nacional;;;Vivienda protegida;2017;45.317
Total Nacional;;;Vivienda protegida;2016;41.559
Total Nacional;;;Vivienda protegida;2015;36.415
Total Nacional;;;Vivienda protegida;2014;32.561
Total Nacional;;;Vivienda protegida;2013;35.162
Total Nacional;;;Vivienda protegida;2012;38.486
Total Nacional;;;Vivienda protegida;2011;47.789
Total Nacional;;;Vivienda protegida;2010;50.554
Total Nacional;;;Vivienda protegida;2009;42.245
Total Nacional;;;Vivienda protegida;2008;49.309
Total Nacional;;;Vivienda protegida;2007;67.054
Total Nacional;01 Andalucía;;Viviendas: Total;2025;143.794
Total Nacional;01 Andalucía;;Viviendas: Total;2024;125.363
Total Nacional;01 Andalucía;;Viviendas: Total;2023;117.969
Total Nacional;01 Andalucía;;Viviendas: Total;2022;134.647
Total Nacional;01 Andalucía;;Viviendas: Total;2021;117.987
Total Nacional;01 Andalucía;;Viviendas: Total;2020;83.481
Total Nacional;01 Andalucía;;Viviendas: Total;2019;100.104
Total Nacional;01 Andalucía;;Viviendas: Total;2018;101.412
Total Nacional;01 Andalucía;;Viviendas: Total;2017;89.607
Total Nacional;01 Andalucía;;Viviendas: Total;2016;79.352
Total Nacional;01 Andalucía;;Viviendas: Total;2015;70.707
Total Nacional;01 Andalucía;;Viviendas: Total;2014;63.969
Total Nacional;01 Andalucía;;Viviendas: Total;2013;64.131
Total Nacional;01 Andalucía;;Viviendas: Total;2012;62.943
Total Nacional;01 Andalucía;;Viviendas: Total;2011;72.753
Total Nacional;01 Andalucía;;Viviendas: Total;2010;83.195
Total Nacional;01 Andalucía;;Viviendas: Total;2009;86.640
Total Nacional;01 Andalucía;;Viviendas: Total;2008;120.198
Total Nacional;01 Andalucía;;Viviendas: Total;2007;167.803
Total Nacional;01 Andalucía;;Vivienda nueva;2025;38.910
Total Nacional;01 Andalucía;;Vivienda nueva;2024;31.214
Total Nacional;01 Andalucía;;Vivienda nueva;2023;23.678
Total Nacional;01 Andalucía;;Vivienda nueva;2022;26.598
Total Nacional;01 Andalucía;;Vivienda nueva;2021;26.517
Total Nacional;01 Andalucía;;Vivienda nueva;2020;17.299
Total Nacional;01 Andalucía;;Vivienda nueva;2019;18.737
Total Nacional;01 Andalucía;;Vivienda nueva;2018;18.141
Total Nacional;01 Andalucía;;Vivienda nueva;2017;16.492
Total Nacional;01 Andalucía;;Vivienda nueva;2016;14.709
Total Nacional;01 Andalucía;;Vivienda nueva;2015;16.422
Total Nacional;01 Andalucía;;Vivienda nueva;2014;25.634
Total Nacional;01 Andalucía;;Vivienda nueva;2013;32.113
Total Nacional;01 Andalucía;;Vivienda nueva;2012;33.449
Total Nacional;01 Andalucía;;Vivienda nueva;2011;36.916
Total Nacional;01 Andalucía;;Vivienda nueva;2010;44.399
Total Nacional;01 Andalucía;;Vivienda nueva;2009;48.609
Total Nacional;01 Andalucía;;Vivienda nueva;2008;63.489
Total Nacional;01 Andalucía;;Vivienda nueva;2007;82.147
