Comunidades y Ciudades Autónomas;Tipo de dato;Rúbricas 2011;Periodo;Total
Nacional;Índice;Vivienda en alquiler;2026M02;101,522
Nacional;Índice;Vivienda en alquiler;2026M01;101,257
Nacional;Índice;Vivienda en alquiler;2025M12;101,034
Nacional;Índice;Vivienda en alquiler;2025M11;100,857
Nacional;Índice;Vivienda en alquiler;2025M10;100,667
Nacional;Índice;Vivienda en alquiler;2025M09;100,475
Nacional;Índice;Vivienda en alquiler;2025M08;100,277
Nacional;Índice;Vivienda en alquiler;2025M07;100,141
Nacional;Índice;Vivienda en alquiler;2025M06;100,013
Nacional;Índice;Vivienda en alquiler;2025M05;99,783
Nacional;Índice;Vivienda en alquiler;2025M04;99,59
Nacional;Índice;Vivienda en alquiler;2025M03;99,306
Nacional;Índice;Vivienda en alquiler;2025M02;99,049
Nacional;Índice;Vivienda en alquiler;2025M01;98,808
Nacional;Índice;Vivienda en alquiler;2024M12;98,616
Nacional;Índice;Vivienda en alquiler;2024M11;98,489
Nacional;Índice;Vivienda en alquiler;2024M10;98,279
Nacional;Índice;Vivienda en alquiler;2024M09;98,062
Nacional;Índice;Vivienda en alquiler;2024M08;97,909
Nacional;Índice;Vivienda en alquiler;2024M07;97,769
Nacional;Índice;Vivienda en alquiler;2024M06;97,637
Nacional;Índice;Vivienda en alquiler;2024M05;97,481
Nacional;Índice;Vivienda en alquiler;2024M04;97,245
Nacional;Índice;Vivienda en alquiler;2024M03;96,987
Nacional;Índice;Vivienda en alquiler;2024M02;96,74
Nacional;Índice;Vivienda en alquiler;2024M01;96,505
Nacional;Índice;Vivienda en alquiler;2023M12;96,325
Nacional;Índice;Vivienda en alquiler;2023M11;96,204
Nacional;Índice;Vivienda en alquiler;2023M10;96,031
Nacional;Índice;Vivienda en alquiler;2023M09;95,884
Nacional;Índice;Vivienda en alquiler;2023M08;95,758
Nacional;Índice;Vivienda en alquiler;2023M07;95,704
Nacional;Índice;Vivienda en alquiler;2023M06;95,545
Nacional;Índice;Vivienda en alquiler;2023M05;95,411
Nacional;Índice;Vivienda en alquiler;2023M04;95,222
Nacional;Índice;Vivienda en alquiler;2023M03;95,049
Nacional;Índice;Vivienda en alquiler;2023M02;94,808
Nacional;Índice;Vivienda en alquiler;2023M01;94,636
Nacional;Índice;Vivienda en alquiler;2022M12;94,41
Nacional;Índice;Vivienda en alquiler;2022M11;94,238
Nacional;Índice;Vivienda en alquiler;2022M10;94,101
Nacional;Índice;Vivienda en alquiler;2022M09;93,948
Nacional;Índice;Vivienda en alquiler;2022M08;93,84
Nacional;Índice;Vivienda en alquiler;2022M07;93,744
Nacional;Índice;Vivienda en alquiler;2022M06;93,604
Nacional;Índice;Vivienda en alquiler;2022M05;93,46
Nacional;Índice;Vivienda en alquiler;2022M04;93,315
Nacional;Índice;Vivienda en alquiler;2022M03;93,132
Nacional;Índice;Vivienda en alquiler;2022M02;92,93
Nacional;Índice;Vivienda en alquiler;2022M01;92,769
Nacional;Índice;Vivienda en alquiler;2021M12;92,624
Nacional;Índice;Vivienda en alquiler;2021M11;92,563
Nacional;Índice;Vivienda en alquiler;2021M10;92,503
Nacional;Índice;Vivienda en alquiler;2021M09;92,468
Nacional;Índice;Vivienda en alquiler;2021M08;92,424
Nacional;Índice;Vivienda en alquiler;2021M07;92,4
Nacional;Índice;Vivienda en alquiler;2021M06;92,356
Nacional;Índice;Vivienda en alquiler;2021M05;92,303
Nacional;Índice;Vivienda en alquiler;2021M04;92,285
Nacional;Índice;Vivienda en alquiler;2021M03;92,261
Nacional;Índice;Vivienda en alquiler;2021M02;92,233
Nacional;Índice;Vivienda en alquiler;2021M01;92,182
Nacional;Índice;Vivienda en alquiler;2020M12;92,128
Nacional;Índice;Vivienda en alquiler;2020M11;92,099
Nacional;Índice;Vivienda en alquiler;2020M10;92,042
Nacional;Índice;Vivienda en alquiler;2020M09;92,027
Nacional;Índice;Vivienda en alquiler;2020M08;91,964
Nacional;Índice;Vivienda en alquiler;2020M07;91,909
Nacional;Índice;Vivienda en alquiler;2020M06;91,79
Nacional;Índice;Vivienda en alquiler;2020M05;91,703
Nacional;Índice;Vivienda en alquiler;2020M04;91,67
Nacional;Índice;Vivienda en alquiler;2020M03;91,647
Nacional;Índice;Vivienda en alquiler;2020M02;91,58
Nacional;Índice;Vivienda en alquiler;2020M01;91,467
Nacional;Índice;Vivienda en alquiler;2019M12;91,356
Nacional;Índice;Vivienda en alquiler;2019M11;91,248
Nacional;Índice;Vivienda en alquiler;2019M10;91,151
Nacional;Índice;Vivienda en alquiler;2019M09;91,047
Nacional;Índice;Vivienda en alquiler;2019M08;90,963
Nacional;Índice;Vivienda en alquiler;2019M07;90,88
Nacional;Índice;Vivienda en alquiler;2019M06;90,764
Nacional;Índice;Vivienda en alquiler;2019M05;90,649
Nacional;Índice;Vivienda en alquiler;2019M04;90,552
Nacional;Índice;Vivienda en alquiler;2019M03;90,44
Nacional;Índice;Vivienda en alquiler;2019M02;90,341
Nacional;Índice;Vivienda en alquiler;2019M01;90,204
Nacional;Índice;Vivienda en alquiler;2018M12;90,061
Nacional;Índice;Vivienda en alquiler;2018M11;89,967
Nacional;Índice;Vivienda en alquiler;2018M10;89,816
Nacional;Índice;Vivienda en alquiler;2018M09;89,666
Nacional;Índice;Vivienda en alquiler;2018M08;89,558
Nacional;Índice;Vivienda en alquiler;2018M07;89,461
Nacional;Índice;Vivienda en alquiler;2018M06;89,348
Nacional;Índice;Vivienda en alquiler;2018M05;89,262
Nacional;Índice;Vivienda en alquiler;2018M04;89,144
Nacional;Índice;Vivienda en alquiler;2018M03;89,034
Nacional;Índice;Vivienda en alquiler;2018M02;88,914
Nacional;Índice;Vivienda en alquiler;2018M01;88,83
Nacional;Índice;Vivienda en alquiler;2017M12;88,726
Nacional;Índice;Vivienda en alquiler;2017M11;88,646
Nacional;Índice;Vivienda en alquiler;2017M10;88,546
Nacional;Índice;Vivienda en alquiler;2017M09;88,447
Nacional;Índice;Vivienda en alquiler;2017M08;88,374
Nacional;Índice;Vivienda en alquiler;2017M07;88,306
Nacional;Índice;Vivienda en alquiler;2017M06;88,251
Nacional;Índice;Vivienda en alquiler;2017M05;88,175
Nacional;Índice;Vivienda en alquiler;2017M04;88,122
Nacional;Índice;Vivienda en alquiler;2017M03;88,072
Nacional;Índice;Vivienda en alquiler;2017M02;88,018
Nacional;Índice;Vivienda en alquiler;2017M01;87,986
Nacional;Índice;Vivienda en alquiler;2016M12;87,961
Nacional;Índice;Vivienda en alquiler;2016M11;87,96
Nacional;Índice;Vivienda en alquiler;2016M10;87,942
Nacional;Índice;Vivienda en alquiler;2016M09;87,969
Nacional;Índice;Vivienda en alquiler;2016M08;87,943
Nacional;Índice;Vivienda en alquiler;2016M07;87,934
Nacional;Índice;Vivienda en alquiler;2016M06;87,983
Nacional;Índice;Vivienda en alquiler;2016M05;87,968
Nacional;Índice;Vivienda en alquiler;2016M04;87,95
Nacional;Índice;Vivienda en alquiler;2016M03;87,922
Nacional;Índice;Vivienda en alquiler;2016M02;87,92
Nacional;Índice;Vivienda en alquiler;2016M01;87,885
Nacional;Índice;Vivienda en alquiler;2015M12;87,883
Nacional;Índice;Vivienda en alquiler;2015M11;87,897
Nacional;Índice;Vivienda en alquiler;2015M10;87,917
Nacional;Índice;Vivienda en alquiler;2015M09;87,969
Nacional;Índice;Vivienda en alquiler;2015M08;87,973
Nacional;Índice;Vivienda en alquiler;2015M07;87,99
Nacional;Índice;Vivienda en alquiler;2015M06;88,018
Nacional;Índice;Vivienda en alquiler;2015M05;88,043
Nacional;Índice;Vivienda en alquiler;2015M04;88,052
Nacional;Índice;Vivienda en alquiler;2015M03;88,135
Nacional;Índice;Vivienda en alquiler;2015M02;88,193
Nacional;Índice;Vivienda en alquiler;2015M01;88,194
Nacional;Índice;Vivienda en alquiler;2014M12;88,2
Nacional;Índice;Vivienda en alquiler;2014M11;88,234
Nacional;Índice;Vivienda en alquiler;2014M10;88,265
Nacional;Índice;Vivienda en alquiler;2014M09;88,338
Nacional;Índice;Vivienda en alquiler;2014M08;88,359
Nacional;Índice;Vivienda en alquiler;2014M07;88,37
Nacional;Índice;Vivienda en alquiler;2014M06;88,431
Nacional;Índice;Vivienda en alquiler;2014M05;88,516
Nacional;Índice;Vivienda en alquiler;2014M04;88,59
Nacional;Índice;Vivienda en alquiler;2014M03;88,62
Nacional;Índice;Vivienda en alquiler;2014M02;88,691
Nacional;Índice;Vivienda en alquiler;2014M01;88,765
Nacional;Índice;Vivienda en alquiler;2013M12;88,834
Nacional;Índice;Vivienda en alquiler;2013M11;88,865
Nacional;Índice;Vivienda en alquiler;2013M10;88,881
Nacional;Índice;Vivienda en alquiler;2013M09;88,946
Nacional;Índice;Vivienda en alquiler;2013M08;89,02
Nacional;Índice;Vivienda en alquiler;2013M07;89,084
Nacional;Índice;Vivienda en alquiler;2013M06;89,112
Nacional;Índice;Vivienda en alquiler;2013M05;89,152
Nacional;Índice;Vivienda en alquiler;2013M04;89,173
Nacional;Índice;Vivienda en alquiler;2013M03;89,231
Nacional;Índice;Vivienda en alquiler;2013M02;89,205
Nacional;Índice;Vivienda en alquiler;2013M01;89,223
Nacional;Índice;Vivienda en alquiler;2012M12;89,321
Nacional;Índice;Vivienda en alquiler;2012M11;89,311
Nacional;Índice;Vivienda en alquiler;2012M10;89,305
Nacional;Índice;Vivienda en alquiler;2012M09;89,222
Nacional;Índice;Vivienda en alquiler;2012M08;89,222
Nacional;Índice;Vivienda en alquiler;2012M07;89,253
Nacional;Índice;Vivienda en alquiler;2012M06;89,222
Nacional;Índice;Vivienda en alquiler;2012M05;89,209
Nacional;Índice;Vivienda en alquiler;2012M04;89,251
Nacional;Índice;Vivienda en alquiler;2012M03;89,218
Nacional;Índice;Vivienda en alquiler;2012M02;89,12
Nacional;Índice;Vivienda en alquiler;2012M01;89,065
Nacional;Índice;Vivienda en alquiler;2011M12;89,001
Nacional;Índice;Vivienda en alquiler;2011M11;88,972
Nacional;Índice;Vivienda en alquiler;2011M10;88,925
Nacional;Índice;Vivienda en alquiler;2011M09;88,879
