Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;General;Media anual;2025;179,905
Nacional;General;Media anual;2024;159,656
Nacional;General;Media anual;2023;147,282
Nacional;General;Media anual;2022;141,675
Nacional;General;Media anual;2021;131,928
Nacional;General;Media anual;2020;127,232
Nacional;General;Media anual;2019;124,597
Nacional;General;Media anual;2018;118,595
Nacional;General;Media anual;2017;111,137
Nacional;General;Media anual;2016;104,664
Nacional;General;Media anual;2015;100
Nacional;General;Media anual;2014;96,553
Nacional;General;Media anual;2013;96,266
Nacional;General;Media anual;2012;107,678
Nacional;General;Media anual;2011;124,829
Nacional;General;Media anual;2010;134,745
Nacional;General;Media anual;2009;137,483
Nacional;General;Media anual;2008;147,336
Nacional;General;Media anual;2007;149,599
Nacional;General;Variación anual;2025;12,7
Nacional;General;Variación anual;2024;8,4
Nacional;General;Variación anual;2023;4
Nacional;General;Variación anual;2022;7,4
Nacional;General;Variación anual;2021;3,7
Nacional;General;Variación anual;2020;2,1
Nacional;General;Variación anual;2019;5,1
Nacional;General;Variación anual;2018;6,7
Nacional;General;Variación anual;2017;6,2
Nacional;General;Variación anual;2016;4,7
Nacional;General;Variación anual;2015;3,6
Nacional;General;Variación anual;2014;0,3
Nacional;General;Variación anual;2013;-10,6
Nacional;General;Variación anual;2012;-13,7
Nacional;General;Variación anual;2011;-7,4
Nacional;General;Variación anual;2010;-2
Nacional;General;Variación anual;2009;-6,7
Nacional;General;Variación anual;2008;-1,5
Nacional;General;Variación anual;2007;9,8
Nacional;Vivienda nueva;Media anual;2025;206,448
Nacional;Vivienda nueva;Media anual;2024;185,503
Nacional;Vivienda nueva;Media anual;2023;167,333
Nacional;Vivienda nueva;Media anual;2022;154,902
Nacional;Vivienda nueva;Media anual;2021;143,531
Nacional;Vivienda nueva;Media anual;2020;137,198
Nacional;Vivienda nueva;Media anual;2019;128,829
Nacional;Vivienda nueva;Media anual;2018;120,043
Nacional;Vivienda nueva;Media anual;2017;112,843
Nacional;Vivienda nueva;Media anual;2016;106,523
Nacional;Vivienda nueva;Media anual;2015;100
Nacional;Vivienda nueva;Media anual;2014;95,477
Nacional;Vivienda nueva;Media anual;2013;94,657
Nacional;Vivienda nueva;Media anual;2012;105,662
Nacional;Vivienda nueva;Media anual;2011;120,465
Nacional;Vivienda nueva;Media anual;2010;127,03
Nacional;Vivienda nueva;Media anual;2009;130,501
Nacional;Vivienda nueva;Media anual;2008;136,132
Nacional;Vivienda nueva;Media anual;2007;130,657
Nacional;Vivienda nueva;Variación anual;2025;11,3
Nacional;Vivienda nueva;Variación anual;2024;10,9
