Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;;General;Índice;2025T4;186,75
Nacional;;General;Índice;2025T3;183,389
Nacional;;General;Índice;2025T2;178,184
Nacional;;General;Índice;2025T1;171,296
Nacional;;General;Índice;2024T4;165,433
Nacional;;General;Índice;2024T3;162,521
Nacional;;General;Índice;2024T2;158,083
Nacional;;General;Índice;2024T1;152,618
Nacional;;General;Índice;2023T4;148,69
Nacional;;General;Índice;2023T3;150,273
Nacional;;General;Índice;2023T2;146,583
Nacional;;General;Índice;2023T1;143,58
Nacional;;General;Índice;2022T4;142,666
Nacional;;General;Índice;2022T3;143,86
Nacional;;General;Índice;2022T2;141,433
Nacional;;General;Índice;2022T1;138,742
Nacional;;General;Índice;2021T4;135,291
Nacional;;General;Índice;2021T3;133,652
Nacional;;General;Índice;2021T2;130,937
Nacional;;General;Índice;2021T1;127,831
Nacional;;General;Índice;2020T4;127,179
Nacional;;General;Índice;2020T3;128,255
Nacional;;General;Índice;2020T2;126,799
Nacional;;General;Índice;2020T1;126,695
Nacional;;General;Índice;2019T4;125,32
Nacional;;General;Índice;2019T3;126,135
Nacional;;General;Índice;2019T2;124,175
Nacional;;General;Índice;2019T1;122,758
Nacional;;General;Índice;2018T4;120,954
Nacional;;General;Índice;2018T3;120,491
Nacional;;General;Índice;2018T2;117,941
Nacional;;General;Índice;2018T1;114,994
Nacional;;General;Índice;2017T4;113,457
Nacional;;General;Índice;2017T3;112,442
Nacional;;General;Índice;2017T2;110,41
Nacional;;General;Índice;2017T1;108,239
Nacional;;General;Índice;2016T4;105,848
Nacional;;General;Índice;2016T3;105,431
Nacional;;General;Índice;2016T2;104,601
Nacional;;General;Índice;2016T1;102,775
Nacional;;General;Índice;2015T4;101,305
Nacional;;General;Índice;2015T3;101,358
Nacional;;General;Índice;2015T2;100,687
Nacional;;General;Índice;2015T1;96,651
Nacional;;General;Índice;2014T4;97,194
Nacional;;General;Índice;2014T3;97,002
Nacional;;General;Índice;2014T2;96,805
Nacional;;General;Índice;2014T1;95,208
Nacional;;General;Índice;2013T4;95,512
Nacional;;General;Índice;2013T3;96,742
Nacional;;General;Índice;2013T2;96,041
Nacional;;General;Índice;2013T1;96,768
Nacional;;General;Índice;2012T4;103,593
Nacional;;General;Índice;2012T3;105,073
Nacional;;General;Índice;2012T2;109,187
Nacional;;General;Índice;2012T1;112,861
Nacional;;General;Índice;2011T4;118,782
Nacional;;General;Índice;2011T3;123,948
Nacional;;General;Índice;2011T2;127,528
Nacional;;General;Índice;2011T1;129,059
Nacional;;General;Índice;2010T4;133,718
Nacional;;General;Índice;2010T3;133,846
Nacional;;General;Índice;2010T2;136,79
Nacional;;General;Índice;2010T1;134,626
Nacional;;General;Índice;2009T4;136,313
Nacional;;General;Índice;2009T3;136,845
Nacional;;General;Índice;2009T2;138,082
Nacional;;General;Índice;2009T1;138,693
Nacional;;General;Índice;2008T4;142,511
Nacional;;General;Índice;2008T3;147,134
Nacional;;General;Índice;2008T2;149,618
Nacional;;General;Índice;2008T1;150,082
Nacional;;General;Índice;2007T4;150,64
Nacional;;General;Índice;2007T3;151,719
Nacional;;General;Índice;2007T2;150,103
Nacional;;General;Índice;2007T1;145,935
Nacional;;General;Variación trimestral;2025T4;1,8
Nacional;;General;Variación trimestral;2025T3;2,9
Nacional;;General;Variación trimestral;2025T2;4
Nacional;;General;Variación trimestral;2025T1;3,5
Nacional;;General;Variación trimestral;2024T4;1,8
Nacional;;General;Variación trimestral;2024T3;2,8
Nacional;;General;Variación trimestral;2024T2;3,6
Nacional;;General;Variación trimestral;2024T1;2,6
Nacional;;General;Variación trimestral;2023T4;-1,1
Nacional;;General;Variación trimestral;2023T3;2,5
Nacional;;General;Variación trimestral;2023T2;2,1
Nacional;;General;Variación trimestral;2023T1;0,6
Nacional;;General;Variación trimestral;2022T4;-0,8
Nacional;;General;Variación trimestral;2022T3;1,7
Nacional;;General;Variación trimestral;2022T2;1,9
Nacional;;General;Variación trimestral;2022T1;2,6
Nacional;;General;Variación trimestral;2021T4;1,2
Nacional;;General;Variación trimestral;2021T3;2,1
Nacional;;General;Variación trimestral;2021T2;2,4
Nacional;;General;Variación trimestral;2021T1;0,5
Nacional;;General;Variación trimestral;2020T4;-0,8
Nacional;;General;Variación trimestral;2020T3;1,1
Nacional;;General;Variación trimestral;2020T2;0,1
Nacional;;General;Variación trimestral;2020T1;1,1
Nacional;;General;Variación trimestral;2019T4;-0,6
Nacional;;General;Variación trimestral;2019T3;1,6
Nacional;;General;Variación trimestral;2019T2;1,2
Nacional;;General;Variación trimestral;2019T1;1,5
Nacional;;General;Variación trimestral;2018T4;0,4
Nacional;;General;Variación trimestral;2018T3;2,2
Nacional;;General;Variación trimestral;2018T2;2,6
Nacional;;General;Variación trimestral;2018T1;1,4
Nacional;;General;Variación trimestral;2017T4;0,9
Nacional;;General;Variación trimestral;2017T3;1,8
Nacional;;General;Variación trimestral;2017T2;2
Nacional;;General;Variación trimestral;2017T1;2,3
Nacional;;General;Variación trimestral;2016T4;0,4
Nacional;;General;Variación trimestral;2016T3;0,8
Nacional;;General;Variación trimestral;2016T2;1,8
Nacional;;General;Variación trimestral;2016T1;1,5
Nacional;;General;Variación trimestral;2015T4;-0,1
Nacional;;General;Variación trimestral;2015T3;0,7
Nacional;;General;Variación trimestral;2015T2;4,2
Nacional;;General;Variación trimestral;2015T1;-0,6
Nacional;;General;Variación trimestral;2014T4;0,2
Nacional;;General;Variación trimestral;2014T3;0,2
Nacional;;General;Variación trimestral;2014T2;1,7
Nacional;;General;Variación trimestral;2014T1;-0,3
Nacional;;General;Variación trimestral;2013T4;-1,3
Nacional;;General;Variación trimestral;2013T3;0,7
Nacional;;General;Variación trimestral;2013T2;-0,8
Nacional;;General;Variación trimestral;2013T1;-6,6
Nacional;;General;Variación trimestral;2012T4;-1,4
Nacional;;General;Variación trimestral;2012T3;-3,8
Nacional;;General;Variación trimestral;2012T2;-3,3
Nacional;;General;Variación trimestral;2012T1;-5
Nacional;;General;Variación trimestral;2011T4;-4,2
Nacional;;General;Variación trimestral;2011T3;-2,8
Nacional;;General;Variación trimestral;2011T2;-1,2
Nacional;;General;Variación trimestral;2011T1;-3,5
Nacional;;General;Variación trimestral;2010T4;-0,1
Nacional;;General;Variación trimestral;2010T3;-2,2
Nacional;;General;Variación trimestral;2010T2;1,6
Nacional;;General;Variación trimestral;2010T1;-1,2
Nacional;;General;Variación trimestral;2009T4;-0,4
Nacional;;General;Variación trimestral;2009T3;-0,9
Nacional;;General;Variación trimestral;2009T2;-0,4
