Municipio;Tipo de dato;Periodo;Total
Total Nacional;Índice;2023;118,727
Total Nacional;Índice;2022;115,684
Total Nacional;Índice;2021;112,694
Total Nacional;Índice;2020;110,942
Total Nacional;Índice;2019;109,999
Total Nacional;Índice;2018;106,247
Total Nacional;Índice;2017;103,528
Total Nacional;Índice;2016;101,681
Total Nacional;Índice;2015;100
Total Nacional;Índice;2014;99,741
Total Nacional;Índice;2013;100,493
Total Nacional;Índice;2012;103,193
Total Nacional;Índice;2011;104,761
Total Nacional;Variación anual;2023;2,6
Total Nacional;Variación anual;2022;2,7
Total Nacional;Variación anual;2021;1,6
Total Nacional;Variación anual;2020;0,9
Total Nacional;Variación anual;2019;3,5
Total Nacional;Variación anual;2018;2,6
Total Nacional;Variación anual;2017;1,8
Total Nacional;Variación anual;2016;1,7
Total Nacional;Variación anual;2015;0,3
Total Nacional;Variación anual;2014;-0,7
Total Nacional;Variación anual;2013;-2,6
Total Nacional;Variación anual;2012;-1,5
Total Nacional;Variación anual;2011;..
02003 Albacete;Índice;2023;116,009
02003 Albacete;Índice;2022;113,267
02003 Albacete;Índice;2021;110,577
02003 Albacete;Índice;2020;107,938
02003 Albacete;Índice;2019;107,11
02003 Albacete;Índice;2018;104,156
02003 Albacete;Índice;2017;102,477
02003 Albacete;Índice;2016;101,532
02003 Albacete;Índice;2015;100
02003 Albacete;Índice;2014;101,035
02003 Albacete;Índice;2013;102,746
02003 Albacete;Índice;2012;105,737
02003 Albacete;Índice;2011;108,62
02003 Albacete;Variación anual;2023;2,4
02003 Albacete;Variación anual;2022;2,4
02003 Albacete;Variación anual;2021;2,4
02003 Albacete;Variación anual;2020;0,8
02003 Albacete;Variación anual;2019;2,8
02003 Albacete;Variación anual;2018;1,6
02003 Albacete;Variación anual;2017;0,9
02003 Albacete;Variación anual;2016;1,5
02003 Albacete;Variación anual;2015;-1
02003 Albacete;Variación anual;2014;-1,7
02003 Albacete;Variación anual;2013;-2,8
02003 Albacete;Variación anual;2012;-2,7
02003 Albacete;Variación anual;2011;..
02009 Almansa;Índice;2023;111,702
02009 Almansa;Índice;2022;109,448
02009 Almansa;Índice;2021;107,566
02009 Almansa;Índice;2020;105,746
02009 Almansa;Índice;2019;104,03
02009 Almansa;Índice;2018;102,478
02009 Almansa;Índice;2017;99,988
02009 Almansa;Índice;2016;99,785
02009 Almansa;Índice;2015;100
02009 Almansa;Índice;2014;100,216
02009 Almansa;Índice;2013;99,464
02009 Almansa;Índice;2012;104,474
02009 Almansa;Índice;2011;107,648
02009 Almansa;Variación anual;2023;2,1
02009 Almansa;Variación anual;2022;1,7
02009 Almansa;Variación anual;2021;1,7
02009 Almansa;Variación anual;2020;1,6
02009 Almansa;Variación anual;2019;1,5
02009 Almansa;Variación anual;2018;2,5
02009 Almansa;Variación anual;2017;0,2
02009 Almansa;Variación anual;2016;-0,2
02009 Almansa;Variación anual;2015;-0,2
02009 Almansa;Variación anual;2014;0,8
02009 Almansa;Variación anual;2013;-4,8
02009 Almansa;Variación anual;2012;-2,9
02009 Almansa;Variación anual;2011;..
02025 Caudete;Índice;2023;105,418
02025 Caudete;Índice;2022;103,712
02025 Caudete;Índice;2021;101,556
02025 Caudete;Índice;2020;100,523
