Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
42001 Abejar;;;Renta neta media por persona;2023;15.805
42001 Abejar;;;Renta neta media por persona;2022;14.287
42001 Abejar;;;Renta neta media por persona;2021;13.748
42001 Abejar;;;Renta neta media por persona;2020;13.567
42001 Abejar;;;Renta neta media por persona;2019;13.027
42001 Abejar;;;Renta neta media por persona;2018;12.693
42001 Abejar;;;Renta neta media por persona;2017;11.861
42001 Abejar;;;Renta neta media por persona;2016;11.783
42001 Abejar;;;Renta neta media por persona;2015;11.973
42001 Abejar;;;Renta neta media por hogar;2023;34.639
42001 Abejar;;;Renta neta media por hogar;2022;31.725
42001 Abejar;;;Renta neta media por hogar;2021;28.785
42001 Abejar;;;Renta neta media por hogar;2020;27.659
42001 Abejar;;;Renta neta media por hogar;2019;28.660
42001 Abejar;;;Renta neta media por hogar;2018;29.451
42001 Abejar;;;Renta neta media por hogar;2017;26.534
42001 Abejar;;;Renta neta media por hogar;2016;26.680
42001 Abejar;;;Renta neta media por hogar;2015;26.856
42001 Abejar;;;Media de la renta por unidad de consumo;2023;22.328
42001 Abejar;;;Media de la renta por unidad de consumo;2022;20.236
42001 Abejar;;;Media de la renta por unidad de consumo;2021;19.316
42001 Abejar;;;Media de la renta por unidad de consumo;2020;18.875
42001 Abejar;;;Media de la renta por unidad de consumo;2019;18.912
42001 Abejar;;;Media de la renta por unidad de consumo;2018;18.496
42001 Abejar;;;Media de la renta por unidad de consumo;2017;16.901
42001 Abejar;;;Media de la renta por unidad de consumo;2016;16.811
42001 Abejar;;;Media de la renta por unidad de consumo;2015;16.972
42001 Abejar;;;Mediana de la renta por unidad de consumo;2023;21.350
42001 Abejar;;;Mediana de la renta por unidad de consumo;2022;19.950
42001 Abejar;;;Mediana de la renta por unidad de consumo;2021;18.550
42001 Abejar;;;Mediana de la renta por unidad de consumo;2020;18.550
42001 Abejar;;;Mediana de la renta por unidad de consumo;2019;18.550
42001 Abejar;;;Mediana de la renta por unidad de consumo;2018;17.150
42001 Abejar;;;Mediana de la renta por unidad de consumo;2017;16.450
42001 Abejar;;;Mediana de la renta por unidad de consumo;2016;15.750
42001 Abejar;;;Mediana de la renta por unidad de consumo;2015;15.050
42001 Abejar;;;Renta bruta media por persona;2023;18.774
42001 Abejar;;;Renta bruta media por persona;2022;16.850
42001 Abejar;;;Renta bruta media por persona;2021;15.997
42001 Abejar;;;Renta bruta media por persona;2020;15.615
42001 Abejar;;;Renta bruta media por persona;2019;15.016
42001 Abejar;;;Renta bruta media por persona;2018;14.710
42001 Abejar;;;Renta bruta media por persona;2017;13.681
42001 Abejar;;;Renta bruta media por persona;2016;13.656
42001 Abejar;;;Renta bruta media por persona;2015;13.892
42001 Abejar;;;Renta bruta media por hogar;2023;41.147
42001 Abejar;;;Renta bruta media por hogar;2022;37.414
42001 Abejar;;;Renta bruta media por hogar;2021;33.493
42001 Abejar;;;Renta bruta media por hogar;2020;31.836
42001 Abejar;;;Renta bruta media por hogar;2019;33.035
42001 Abejar;;;Renta bruta media por hogar;2018;34.131
42001 Abejar;;;Renta bruta media por hogar;2017;30.604
42001 Abejar;;;Renta bruta media por hogar;2016;30.921
42001 Abejar;;;Renta bruta media por hogar;2015;31.162
42001 Abejar;4200101 Abejar distrito 01;;Renta neta media por persona;2023;15.805
42001 Abejar;4200101 Abejar distrito 01;;Renta neta media por persona;2022;14.287
