Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;Total;2025;10,5
Ambos sexos;Total Nacional;Total;2024;11,34
Ambos sexos;Total Nacional;Total;2023;12,18
Ambos sexos;Total Nacional;Total;2022;13,03
Ambos sexos;Total Nacional;Total;2021;14,91
Ambos sexos;Total Nacional;Total;2020;15,53
Ambos sexos;Total Nacional;Total;2019;14,1
Ambos sexos;Total Nacional;Total;2018;15,25
Ambos sexos;Total Nacional;Total;2017;17,22
Ambos sexos;Total Nacional;Total;2016;19,63
Ambos sexos;Total Nacional;Total;2015;22,06
Ambos sexos;Total Nacional;Total;2014;24,44
Ambos sexos;Total Nacional;Total;2013;26,09
Ambos sexos;Total Nacional;Total;2012;24,79
Ambos sexos;Total Nacional;Total;2011;21,39
Ambos sexos;Total Nacional;Total;2010;19,86
Ambos sexos;Total Nacional;Total;2009;17,86
Ambos sexos;Total Nacional;Total;2008;11,25
Ambos sexos;Total Nacional;Total;2007;8,23
Ambos sexos;Total Nacional;Total;2006;8,45
Ambos sexos;Total Nacional;Menores de 25 años;2025;24,87
Ambos sexos;Total Nacional;Menores de 25 años;2024;26,52
Ambos sexos;Total Nacional;Menores de 25 años;2023;28,67
Ambos sexos;Total Nacional;Menores de 25 años;2022;29,67
Ambos sexos;Total Nacional;Menores de 25 años;2021;35
Ambos sexos;Total Nacional;Menores de 25 años;2020;38,26
Ambos sexos;Total Nacional;Menores de 25 años;2019;32,53
Ambos sexos;Total Nacional;Menores de 25 años;2018;34,34
Ambos sexos;Total Nacional;Menores de 25 años;2017;38,57
Ambos sexos;Total Nacional;Menores de 25 años;2016;44,44
Ambos sexos;Total Nacional;Menores de 25 años;2015;48,33
Ambos sexos;Total Nacional;Menores de 25 años;2014;53,2
Ambos sexos;Total Nacional;Menores de 25 años;2013;55,48
Ambos sexos;Total Nacional;Menores de 25 años;2012;52,86
Ambos sexos;Total Nacional;Menores de 25 años;2011;46,19
Ambos sexos;Total Nacional;Menores de 25 años;2010;41,48
Ambos sexos;Total Nacional;Menores de 25 años;2009;37,73
Ambos sexos;Total Nacional;Menores de 25 años;2008;24,45
Ambos sexos;Total Nacional;Menores de 25 años;2007;18,09
Ambos sexos;Total Nacional;Menores de 25 años;2006;17,89
Ambos sexos;Total Nacional;25 y más años;2025;9,37
Ambos sexos;Total Nacional;25 y más años;2024;10,15
Ambos sexos;Total Nacional;25 y más años;2023;10,93
Ambos sexos;Total Nacional;25 y más años;2022;11,82
Ambos sexos;Total Nacional;25 y más años;2021;13,52
Ambos sexos;Total Nacional;25 y más años;2020;14
Ambos sexos;Total Nacional;25 y más años;2019;12,78
Ambos sexos;Total Nacional;25 y más años;2018;13,9
Ambos sexos;Total Nacional;25 y más años;2017;15,72
Ambos sexos;Total Nacional;25 y más años;2016;17,92
Ambos sexos;Total Nacional;25 y más años;2015;20,15
Ambos sexos;Total Nacional;25 y más años;2014;22,29
Ambos sexos;Total Nacional;25 y más años;2013;23,75
Ambos sexos;Total Nacional;25 y más años;2012;22,44
Ambos sexos;Total Nacional;25 y más años;2011;19,16
Ambos sexos;Total Nacional;25 y más años;2010;17,76
Ambos sexos;Total Nacional;25 y más años;2009;15,74
Ambos sexos;Total Nacional;25 y más años;2008;9,7
Ambos sexos;Total Nacional;25 y más años;2007;7,02
Ambos sexos;Total Nacional;25 y más años;2006;7,24
Ambos sexos;Total Nacional;De 16 a 19 años;2025;37,2
Ambos sexos;Total Nacional;De 16 a 19 años;2024;40,64
Ambos sexos;Total Nacional;De 16 a 19 años;2023;43,1
Ambos sexos;Total Nacional;De 16 a 19 años;2022;44,97
Ambos sexos;Total Nacional;De 16 a 19 años;2021;50,85
Ambos sexos;Total Nacional;De 16 a 19 años;2020;54,33
Ambos sexos;Total Nacional;De 16 a 19 años;2019;45,23
Ambos sexos;Total Nacional;De 16 a 19 años;2018;49,74
Ambos sexos;Total Nacional;De 16 a 19 años;2017;54,54
Ambos sexos;Total Nacional;De 16 a 19 años;2016;60,01
Ambos sexos;Total Nacional;De 16 a 19 años;2015;67,27
Ambos sexos;Total Nacional;De 16 a 19 años;2014;68,56
Ambos sexos;Total Nacional;De 16 a 19 años;2013;73,98
Ambos sexos;Total Nacional;De 16 a 19 años;2012;72,55
Ambos sexos;Total Nacional;De 16 a 19 años;2011;64,02
Ambos sexos;Total Nacional;De 16 a 19 años;2010;61,26
Ambos sexos;Total Nacional;De 16 a 19 años;2009;55,23
Ambos sexos;Total Nacional;De 16 a 19 años;2008;39,38
Ambos sexos;Total Nacional;De 16 a 19 años;2007;28,72
Ambos sexos;Total Nacional;De 16 a 19 años;2006;29,11
Ambos sexos;Total Nacional;De 20 a 24 años;2025;22,43
Ambos sexos;Total Nacional;De 20 a 24 años;2024;23,36
Ambos sexos;Total Nacional;De 20 a 24 años;2023;25,64
Ambos sexos;Total Nacional;De 20 a 24 años;2022;26,34
Ambos sexos;Total Nacional;De 20 a 24 años;2021;31,76
Ambos sexos;Total Nacional;De 20 a 24 años;2020;35,14
Ambos sexos;Total Nacional;De 20 a 24 años;2019;29,77
Ambos sexos;Total Nacional;De 20 a 24 años;2018;31,03
Ambos sexos;Total Nacional;De 20 a 24 años;2017;35,22
Ambos sexos;Total Nacional;De 20 a 24 años;2016;41,42
Ambos sexos;Total Nacional;De 20 a 24 años;2015;44,59
Ambos sexos;Total Nacional;De 20 a 24 años;2014;50,32
Ambos sexos;Total Nacional;De 20 a 24 años;2013;51,78
Ambos sexos;Total Nacional;De 20 a 24 años;2012;48,85
Ambos sexos;Total Nacional;De 20 a 24 años;2011;42,33
Ambos sexos;Total Nacional;De 20 a 24 años;2010;36,87
Ambos sexos;Total Nacional;De 20 a 24 años;2009;33,26
Ambos sexos;Total Nacional;De 20 a 24 años;2008;20,16
Ambos sexos;Total Nacional;De 20 a 24 años;2007;14,97
Ambos sexos;Total Nacional;De 20 a 24 años;2006;14,74
Ambos sexos;Total Nacional;De 25 a 54 años;2025;9,27
Ambos sexos;Total Nacional;De 25 a 54 años;2024;10,12
Ambos sexos;Total Nacional;De 25 a 54 años;2023;10,9
Ambos sexos;Total Nacional;De 25 a 54 años;2022;11,93
Ambos sexos;Total Nacional;De 25 a 54 años;2021;13,69
Ambos sexos;Total Nacional;De 25 a 54 años;2020;14,48
Ambos sexos;Total Nacional;De 25 a 54 años;2019;12,91
Ambos sexos;Total Nacional;De 25 a 54 años;2018;14,04
Ambos sexos;Total Nacional;De 25 a 54 años;2017;15,92
Ambos sexos;Total Nacional;De 25 a 54 años;2016;18,21
Ambos sexos;Total Nacional;De 25 a 54 años;2015;20,56
Ambos sexos;Total Nacional;De 25 a 54 años;2014;22,8
Ambos sexos;Total Nacional;De 25 a 54 años;2013;24,46
Ambos sexos;Total Nacional;De 25 a 54 años;2012;23,26
Ambos sexos;Total Nacional;De 25 a 54 años;2011;19,88
Ambos sexos;Total Nacional;De 25 a 54 años;2010;18,37
Ambos sexos;Total Nacional;De 25 a 54 años;2009;16,34
Ambos sexos;Total Nacional;De 25 a 54 años;2008;10,07
Ambos sexos;Total Nacional;De 25 a 54 años;2007;7,2
Ambos sexos;Total Nacional;De 25 a 54 años;2006;7,47
Ambos sexos;Total Nacional;De 55 y más años;2025;9,67
Ambos sexos;Total Nacional;De 55 y más años;2024;10,24
Ambos sexos;Total Nacional;De 55 y más años;2023;11,05
Ambos sexos;Total Nacional;De 55 y más años;2022;11,38
Ambos sexos;Total Nacional;De 55 y más años;2021;12,86
Ambos sexos;Total Nacional;De 55 y más años;2020;12,06
Ambos sexos;Total Nacional;De 55 y más años;2019;12,24
Ambos sexos;Total Nacional;De 55 y más años;2018;13,28
Ambos sexos;Total Nacional;De 55 y más años;2017;14,76
Ambos sexos;Total Nacional;De 55 y más años;2016;16,43
Ambos sexos;Total Nacional;De 55 y más años;2015;17,92
