Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Viviendas y plazas;Periodo;Total
Total Nacional;;;Viviendas turísticas;2025M11;329.764
Total Nacional;;;Viviendas turísticas;2025M05;381.837
Total Nacional;;;Viviendas turísticas;2024M11;376.463
Total Nacional;;;Viviendas turísticas;2024M08;403.267
Total Nacional;;;Viviendas turísticas;2024M02;351.389
Total Nacional;;;Viviendas turísticas;2023M08;340.424
Total Nacional;;;Viviendas turísticas;2023M02;305.136
Total Nacional;;;Viviendas turísticas;2022M08;311.518
Total Nacional;;;Viviendas turísticas;2022M02;285.868
Total Nacional;;;Viviendas turísticas;2021M08;306.974
Total Nacional;;;Viviendas turísticas;2021M02;294.698
Total Nacional;;;Viviendas turísticas;2020M08;321.496
Total Nacional;;;Plazas;2025M11;1.624.933
Total Nacional;;;Plazas;2025M05;1.927.931
Total Nacional;;;Plazas;2024M11;1.896.755
Total Nacional;;;Plazas;2024M08;2.025.942
Total Nacional;;;Plazas;2024M02;1.751.263
Total Nacional;;;Plazas;2023M08;1.737.509
Total Nacional;;;Plazas;2023M02;1.545.368
Total Nacional;;;Plazas;2022M08;1.585.768
Total Nacional;;;Plazas;2022M02;1.455.967
Total Nacional;;;Plazas;2021M08;1.562.751
Total Nacional;;;Plazas;2021M02;1.495.578
Total Nacional;;;Plazas;2020M08;1.627.377
Total Nacional;;;Plazas por vivienda turística;2025M11;4,93
Total Nacional;;;Plazas por vivienda turística;2025M05;5,05
Total Nacional;;;Plazas por vivienda turística;2024M11;5,04
Total Nacional;;;Plazas por vivienda turística;2024M08;5,02
Total Nacional;;;Plazas por vivienda turística;2024M02;4,98
Total Nacional;;;Plazas por vivienda turística;2023M08;5,1
Total Nacional;;;Plazas por vivienda turística;2023M02;5,06
Total Nacional;;;Plazas por vivienda turística;2022M08;5,09
Total Nacional;;;Plazas por vivienda turística;2022M02;5,09
Total Nacional;;;Plazas por vivienda turística;2021M08;5,09
