country_code,country,year,gdp_per_capita_current_usd,unemployment_rate,inflation_consumer_prices,lending_interest_rate,population_total,urban_population_share,population_density,net_migration,tourism_arrivals,fdi_net_inflows_pct_gdp
VEN,Venezuela,1990,"2451,5523114567",,,"35,5316666666667",19827010,"16,6188595802626","22,4783288929199",-69,,"0,927850810708676"
VEN,Venezuela,1991,"2632,53969814106","9,45",,"37,1633333333333",20304896,"16,2088186024541","23,0201190408707",-236,,"3,5844275474635"
VEN,Venezuela,1992,"2907,30334439434","7,69",,"41,3275",20780948,"15,8037200004309","23,5598299416133",-381,,"1,04110598219712"
VEN,Venezuela,1993,"2824,69144366441","6,6",,"59,9016666666667",21254520,"15,4150478646584","24,0967292103622",-477,,"0,619613146770744"
VEN,Venezuela,1994,"2688,98325145295","8,56",,"54,655",21725188,"15,0446426872233","24,6303361487444",-559,,"1,37113707947231"
VEN,Venezuela,1995,"3486,98350635919","10,24",,"39,7441666666667",22193821,"14,6929447068644","25,1616359616802",-622,879000,"1,28699650133227"
VEN,Venezuela,1996,"3112,825848106","11,77",,"39,4133333333333",22662113,"14,3599842365582","25,6925491752168",-708,960000,"3,09455717335353"
VEN,Venezuela,1997,"3710,82688355096","11,16",,"23,685",23131685,"14,0455965386705","26,2249135536534",-816,933000,"7,22526529614492"
VEN,Venezuela,1998,"3869,98258848894","11,15",,"46,3525",23601337,"13,7516956836997","26,7573686298963",-1010,813000,"5,50052336097173"
VEN,Venezuela,1999,"4070,90619189484","14,53",,"32,1258333333333",24066593,"13,4815545773266","27,2848398616858",-1376,702000,"2,99266605554676"
VEN,Venezuela,2000,"4776,2816763938","13,99",,"25,1991666666667",24526708,"13,2361229547098","27,8064826257015",-1999,602000,"4,01463241741596"
VEN,Venezuela,2001,"4920,39313600453","13,04",,"22,4516666666667",24979922,"13,0173292050672","28,3203015702058",-2856,792000,"3,01356175819466"
VEN,Venezuela,2002,"3652,09896501865","16,17",,"36,5775",25435671,"12,7939590794703","28,8369945014455",-3944,590000,"0,819216932585212"
VEN,Venezuela,2003,"3229,50557082079","16,78",,"25,1933333333333",25892703,"12,5696255935109","29,3551419987529",-5729,435000,"1,88111477594963"
VEN,Venezuela,2004,"4269,08970872392","15,07",,"18,4966666666667",26340838,"12,3580531825045","29,8632027662831",-10798,618000,"1,32412757366554"
VEN,Venezuela,2005,"5432,4854184654","10,663",,"16,8091666666667",26785804,"12,1558182743485","30,3676707669633",-18407,846000,"1,68369269808689"
VEN,Venezuela,2006,"6739,38065342218","8,606",,"15,4766666666667",27224686,"11,9637872850275","30,8652411994785",-27240,883000,"0,107915126446007"
VEN,Venezuela,2007,"8331,62096991844","7,279",,"17,105",27649363,"11,7848719291662","31,346707102772",-36060,898000,"1,89178854425804"
VEN,Venezuela,2008,"11262,4514256759","6,245",,"22,3708333333333",28053696,"11,620832048574","31,8051085539369",-43636,702000,"0,659274461280102"
VEN,Venezuela,2009,"11596,6021921731","6,097","27,080941446613","19,8933333333333",28438298,"11,4704611034898","32,2411405249136",-50286,567000,"-0,344767329112459"
VEN,Venezuela,2010,"13646,3046622664","7,112","28,1874647092039","18,3475",28813101,"11,3291059442617","32,6660631483476",-52781,535000,"0,402601927997842"
VEN,Venezuela,2011,"10843,9229703167","6,902","26,0902123160959","17,15",29185212,"11,1937821769557","33,0879337906014",-54384,625000,"1,85002511047875"
VEN,Venezuela,2012,"12607,2361246243","6,601","21,0689956331876","16,38",29553826,"11,0663660738627","33,5058398049997",-55131,1061000,"1,33819275777321"
VEN,Venezuela,2013,"8656,35669723668","7,54","40,6394275161589","15,895",29912198,"10,9471390999485","33,9121342327532",-57818,1085000,"0,828407125440933"
VEN,Venezuela,2014,"7096,22047105512","6,821","62,1686499794829","17,2116666666667",30254079,"10,8367825757082","34,2997324414716",-62437,967000,"0,528670192739894"
VEN,Venezuela,2015,"4103,1384987005","6,139","121,738085297503","19,395",30573972,"10,7366372434369","34,662402358143",-77417,882000,"2,35633150346133"
VEN,Venezuela,2016,"3670,15737848208","5,319","254,948534781816","20,775",30765720,"10,6829364468014","34,8797913950456",-283270,681000,"1,40548157326263"
VEN,Venezuela,2017,"3791,33160682077","5,045",,"21,0591666666667",30565323,"10,7662660629903","34,6525967915651",-817376,429000,"-0,25801825119328"
VEN,Venezuela,2018,"3422,65467014854","5,468",,,29807592,"11,0536149064093","33,7935400487501",-1355602,,"0,609677838011936"
VEN,Venezuela,2019,"2523,11275230667","5,89",,,28938098,"11,3846551577299","32,8077750694405",-975534,,"0,772453708102055"
VEN,Venezuela,2020,"1506,0436210041","7,53",,,28444077,"11,5913600236135","32,2476923076923",-524649,,"3,51089983775956"
VEN,Venezuela,2021,"2004,93397949792","7,027",,,28237826,"11,6984795135295","32,0138608922397",-332936,,"2,14254260514198"
VEN,Venezuela,2022,"3155,04207099687","5,646",,,28213017,"11,7474907667902","31,9857343688",-141107,,"2,63893280227629"
VEN,Venezuela,2023,"3617,43594578269","5,407",,,28300854,"11,7669534741443","32,0853171588912",-112899,,"0,0126982233499548"
VEN,Venezuela,2024,"4217,59102643391","5,321",,,28405543,"11,7960386060589",,-105297,,"1,36272366359347"
VEN,Venezuela,2025,,"5,307",,,,"11,8370379018993",,-100467,,
