country_code,country,year,indicator_code,indicator,value
VEN,Venezuela,1990,NY.GDP.PCAP.CD,GDP per capita (current US$),"2451,5523114567"
VEN,Venezuela,1991,NY.GDP.PCAP.CD,GDP per capita (current US$),"2632,53969814106"
VEN,Venezuela,1992,NY.GDP.PCAP.CD,GDP per capita (current US$),"2907,30334439434"
VEN,Venezuela,1993,NY.GDP.PCAP.CD,GDP per capita (current US$),"2824,69144366441"
VEN,Venezuela,1994,NY.GDP.PCAP.CD,GDP per capita (current US$),"2688,98325145295"
VEN,Venezuela,1995,NY.GDP.PCAP.CD,GDP per capita (current US$),"3486,98350635919"
VEN,Venezuela,1996,NY.GDP.PCAP.CD,GDP per capita (current US$),"3112,825848106"
VEN,Venezuela,1997,NY.GDP.PCAP.CD,GDP per capita (current US$),"3710,82688355096"
VEN,Venezuela,1998,NY.GDP.PCAP.CD,GDP per capita (current US$),"3869,98258848894"
VEN,Venezuela,1999,NY.GDP.PCAP.CD,GDP per capita (current US$),"4070,90619189484"
VEN,Venezuela,2000,NY.GDP.PCAP.CD,GDP per capita (current US$),"4776,2816763938"
VEN,Venezuela,2001,NY.GDP.PCAP.CD,GDP per capita (current US$),"4920,39313600453"
VEN,Venezuela,2002,NY.GDP.PCAP.CD,GDP per capita (current US$),"3652,09896501865"
VEN,Venezuela,2003,NY.GDP.PCAP.CD,GDP per capita (current US$),"3229,50557082079"
VEN,Venezuela,2004,NY.GDP.PCAP.CD,GDP per capita (current US$),"4269,08970872392"
VEN,Venezuela,2005,NY.GDP.PCAP.CD,GDP per capita (current US$),"5432,4854184654"
VEN,Venezuela,2006,NY.GDP.PCAP.CD,GDP per capita (current US$),"6739,38065342218"
VEN,Venezuela,2007,NY.GDP.PCAP.CD,GDP per capita (current US$),"8331,62096991844"
VEN,Venezuela,2008,NY.GDP.PCAP.CD,GDP per capita (current US$),"11262,4514256759"
VEN,Venezuela,2009,NY.GDP.PCAP.CD,GDP per capita (current US$),"11596,6021921731"
VEN,Venezuela,2010,NY.GDP.PCAP.CD,GDP per capita (current US$),"13646,3046622664"
VEN,Venezuela,2011,NY.GDP.PCAP.CD,GDP per capita (current US$),"10843,9229703167"
VEN,Venezuela,2012,NY.GDP.PCAP.CD,GDP per capita (current US$),"12607,2361246243"
VEN,Venezuela,2013,NY.GDP.PCAP.CD,GDP per capita (current US$),"8656,35669723668"
VEN,Venezuela,2014,NY.GDP.PCAP.CD,GDP per capita (current US$),"7096,22047105512"
VEN,Venezuela,2015,NY.GDP.PCAP.CD,GDP per capita (current US$),"4103,1384987005"
VEN,Venezuela,2016,NY.GDP.PCAP.CD,GDP per capita (current US$),"3670,15737848208"
VEN,Venezuela,2017,NY.GDP.PCAP.CD,GDP per capita (current US$),"3791,33160682077"
VEN,Venezuela,2018,NY.GDP.PCAP.CD,GDP per capita (current US$),"3422,65467014854"
VEN,Venezuela,2019,NY.GDP.PCAP.CD,GDP per capita (current US$),"2523,11275230667"
VEN,Venezuela,2020,NY.GDP.PCAP.CD,GDP per capita (current US$),"1506,0436210041"
VEN,Venezuela,2021,NY.GDP.PCAP.CD,GDP per capita (current US$),"2004,93397949792"
VEN,Venezuela,2022,NY.GDP.PCAP.CD,GDP per capita (current US$),"3155,04207099687"
VEN,Venezuela,2023,NY.GDP.PCAP.CD,GDP per capita (current US$),"3617,43594578269"
VEN,Venezuela,2024,NY.GDP.PCAP.CD,GDP per capita (current US$),"4217,59102643391"
VEN,Venezuela,2025,NY.GDP.PCAP.CD,GDP per capita (current US$),
