country_code,country,year,indicator_code,indicator,value
VEN,Venezuela,1990,ST.INT.ARVL,"International tourism, number of arrivals",
VEN,Venezuela,1991,ST.INT.ARVL,"International tourism, number of arrivals",
VEN,Venezuela,1992,ST.INT.ARVL,"International tourism, number of arrivals",
VEN,Venezuela,1993,ST.INT.ARVL,"International tourism, number of arrivals",
VEN,Venezuela,1994,ST.INT.ARVL,"International tourism, number of arrivals",
VEN,Venezuela,1995,ST.INT.ARVL,"International tourism, number of arrivals",879000
VEN,Venezuela,1996,ST.INT.ARVL,"International tourism, number of arrivals",960000
VEN,Venezuela,1997,ST.INT.ARVL,"International tourism, number of arrivals",933000
VEN,Venezuela,1998,ST.INT.ARVL,"International tourism, number of arrivals",813000
VEN,Venezuela,1999,ST.INT.ARVL,"International tourism, number of arrivals",702000
VEN,Venezuela,2000,ST.INT.ARVL,"International tourism, number of arrivals",602000
VEN,Venezuela,2001,ST.INT.ARVL,"International tourism, number of arrivals",792000
VEN,Venezuela,2002,ST.INT.ARVL,"International tourism, number of arrivals",590000
VEN,Venezuela,2003,ST.INT.ARVL,"International tourism, number of arrivals",435000
VEN,Venezuela,2004,ST.INT.ARVL,"International tourism, number of arrivals",618000
VEN,Venezuela,2005,ST.INT.ARVL,"International tourism, number of arrivals",846000
VEN,Venezuela,2006,ST.INT.ARVL,"International tourism, number of arrivals",883000
VEN,Venezuela,2007,ST.INT.ARVL,"International tourism, number of arrivals",898000
VEN,Venezuela,2008,ST.INT.ARVL,"International tourism, number of arrivals",702000
VEN,Venezuela,2009,ST.INT.ARVL,"International tourism, number of arrivals",567000
VEN,Venezuela,2010,ST.INT.ARVL,"International tourism, number of arrivals",535000
VEN,Venezuela,2011,ST.INT.ARVL,"International tourism, number of arrivals",625000
VEN,Venezuela,2012,ST.INT.ARVL,"International tourism, number of arrivals",1061000
VEN,Venezuela,2013,ST.INT.ARVL,"International tourism, number of arrivals",1085000
VEN,Venezuela,2014,ST.INT.ARVL,"International tourism, number of arrivals",967000
VEN,Venezuela,2015,ST.INT.ARVL,"International tourism, number of arrivals",882000
VEN,Venezuela,2016,ST.INT.ARVL,"International tourism, number of arrivals",681000
VEN,Venezuela,2017,ST.INT.ARVL,"International tourism, number of arrivals",429000
VEN,Venezuela,2018,ST.INT.ARVL,"International tourism, number of arrivals",
VEN,Venezuela,2019,ST.INT.ARVL,"International tourism, number of arrivals",
VEN,Venezuela,2020,ST.INT.ARVL,"International tourism, number of arrivals",
VEN,Venezuela,2021,ST.INT.ARVL,"International tourism, number of arrivals",
VEN,Venezuela,2022,ST.INT.ARVL,"International tourism, number of arrivals",
VEN,Venezuela,2023,ST.INT.ARVL,"International tourism, number of arrivals",
VEN,Venezuela,2024,ST.INT.ARVL,"International tourism, number of arrivals",
VEN,Venezuela,2025,ST.INT.ARVL,"International tourism, number of arrivals",
