country_code,country,year,indicator_code,indicator,value
VEN,Venezuela,1990,FR.INR.LEND,Lending interest rate (%),"35,5316666666667"
VEN,Venezuela,1991,FR.INR.LEND,Lending interest rate (%),"37,1633333333333"
VEN,Venezuela,1992,FR.INR.LEND,Lending interest rate (%),"41,3275"
VEN,Venezuela,1993,FR.INR.LEND,Lending interest rate (%),"59,9016666666667"
VEN,Venezuela,1994,FR.INR.LEND,Lending interest rate (%),"54,655"
VEN,Venezuela,1995,FR.INR.LEND,Lending interest rate (%),"39,7441666666667"
VEN,Venezuela,1996,FR.INR.LEND,Lending interest rate (%),"39,4133333333333"
VEN,Venezuela,1997,FR.INR.LEND,Lending interest rate (%),"23,685"
VEN,Venezuela,1998,FR.INR.LEND,Lending interest rate (%),"46,3525"
VEN,Venezuela,1999,FR.INR.LEND,Lending interest rate (%),"32,1258333333333"
VEN,Venezuela,2000,FR.INR.LEND,Lending interest rate (%),"25,1991666666667"
VEN,Venezuela,2001,FR.INR.LEND,Lending interest rate (%),"22,4516666666667"
VEN,Venezuela,2002,FR.INR.LEND,Lending interest rate (%),"36,5775"
VEN,Venezuela,2003,FR.INR.LEND,Lending interest rate (%),"25,1933333333333"
VEN,Venezuela,2004,FR.INR.LEND,Lending interest rate (%),"18,4966666666667"
VEN,Venezuela,2005,FR.INR.LEND,Lending interest rate (%),"16,8091666666667"
VEN,Venezuela,2006,FR.INR.LEND,Lending interest rate (%),"15,4766666666667"
VEN,Venezuela,2007,FR.INR.LEND,Lending interest rate (%),"17,105"
VEN,Venezuela,2008,FR.INR.LEND,Lending interest rate (%),"22,3708333333333"
VEN,Venezuela,2009,FR.INR.LEND,Lending interest rate (%),"19,8933333333333"
VEN,Venezuela,2010,FR.INR.LEND,Lending interest rate (%),"18,3475"
VEN,Venezuela,2011,FR.INR.LEND,Lending interest rate (%),"17,15"
VEN,Venezuela,2012,FR.INR.LEND,Lending interest rate (%),"16,38"
VEN,Venezuela,2013,FR.INR.LEND,Lending interest rate (%),"15,895"
VEN,Venezuela,2014,FR.INR.LEND,Lending interest rate (%),"17,2116666666667"
VEN,Venezuela,2015,FR.INR.LEND,Lending interest rate (%),"19,395"
VEN,Venezuela,2016,FR.INR.LEND,Lending interest rate (%),"20,775"
VEN,Venezuela,2017,FR.INR.LEND,Lending interest rate (%),"21,0591666666667"
VEN,Venezuela,2018,FR.INR.LEND,Lending interest rate (%),
VEN,Venezuela,2019,FR.INR.LEND,Lending interest rate (%),
VEN,Venezuela,2020,FR.INR.LEND,Lending interest rate (%),
VEN,Venezuela,2021,FR.INR.LEND,Lending interest rate (%),
VEN,Venezuela,2022,FR.INR.LEND,Lending interest rate (%),
VEN,Venezuela,2023,FR.INR.LEND,Lending interest rate (%),
VEN,Venezuela,2024,FR.INR.LEND,Lending interest rate (%),
VEN,Venezuela,2025,FR.INR.LEND,Lending interest rate (%),
