country_code,country,year,indicator_code,indicator,value
VEN,Venezuela,1990,SM.POP.NETM,Net migration,-69
VEN,Venezuela,1991,SM.POP.NETM,Net migration,-236
VEN,Venezuela,1992,SM.POP.NETM,Net migration,-381
VEN,Venezuela,1993,SM.POP.NETM,Net migration,-477
VEN,Venezuela,1994,SM.POP.NETM,Net migration,-559
VEN,Venezuela,1995,SM.POP.NETM,Net migration,-622
VEN,Venezuela,1996,SM.POP.NETM,Net migration,-708
VEN,Venezuela,1997,SM.POP.NETM,Net migration,-816
VEN,Venezuela,1998,SM.POP.NETM,Net migration,-1010
VEN,Venezuela,1999,SM.POP.NETM,Net migration,-1376
VEN,Venezuela,2000,SM.POP.NETM,Net migration,-1999
VEN,Venezuela,2001,SM.POP.NETM,Net migration,-2856
VEN,Venezuela,2002,SM.POP.NETM,Net migration,-3944
VEN,Venezuela,2003,SM.POP.NETM,Net migration,-5729
VEN,Venezuela,2004,SM.POP.NETM,Net migration,-10798
VEN,Venezuela,2005,SM.POP.NETM,Net migration,-18407
VEN,Venezuela,2006,SM.POP.NETM,Net migration,-27240
VEN,Venezuela,2007,SM.POP.NETM,Net migration,-36060
VEN,Venezuela,2008,SM.POP.NETM,Net migration,-43636
VEN,Venezuela,2009,SM.POP.NETM,Net migration,-50286
VEN,Venezuela,2010,SM.POP.NETM,Net migration,-52781
VEN,Venezuela,2011,SM.POP.NETM,Net migration,-54384
VEN,Venezuela,2012,SM.POP.NETM,Net migration,-55131
VEN,Venezuela,2013,SM.POP.NETM,Net migration,-57818
VEN,Venezuela,2014,SM.POP.NETM,Net migration,-62437
VEN,Venezuela,2015,SM.POP.NETM,Net migration,-77417
VEN,Venezuela,2016,SM.POP.NETM,Net migration,-283270
VEN,Venezuela,2017,SM.POP.NETM,Net migration,-817376
VEN,Venezuela,2018,SM.POP.NETM,Net migration,-1355602
VEN,Venezuela,2019,SM.POP.NETM,Net migration,-975534
VEN,Venezuela,2020,SM.POP.NETM,Net migration,-524649
VEN,Venezuela,2021,SM.POP.NETM,Net migration,-332936
VEN,Venezuela,2022,SM.POP.NETM,Net migration,-141107
VEN,Venezuela,2023,SM.POP.NETM,Net migration,-112899
VEN,Venezuela,2024,SM.POP.NETM,Net migration,-105297
VEN,Venezuela,2025,SM.POP.NETM,Net migration,-100467
