country_code,country,year,indicator_code,indicator,value
VEN,Venezuela,1990,EN.POP.DNST,Population density (people per sq. km of land area),"22,4783288929199"
VEN,Venezuela,1991,EN.POP.DNST,Population density (people per sq. km of land area),"23,0201190408707"
VEN,Venezuela,1992,EN.POP.DNST,Population density (people per sq. km of land area),"23,5598299416133"
VEN,Venezuela,1993,EN.POP.DNST,Population density (people per sq. km of land area),"24,0967292103622"
VEN,Venezuela,1994,EN.POP.DNST,Population density (people per sq. km of land area),"24,6303361487444"
VEN,Venezuela,1995,EN.POP.DNST,Population density (people per sq. km of land area),"25,1616359616802"
VEN,Venezuela,1996,EN.POP.DNST,Population density (people per sq. km of land area),"25,6925491752168"
VEN,Venezuela,1997,EN.POP.DNST,Population density (people per sq. km of land area),"26,2249135536534"
VEN,Venezuela,1998,EN.POP.DNST,Population density (people per sq. km of land area),"26,7573686298963"
VEN,Venezuela,1999,EN.POP.DNST,Population density (people per sq. km of land area),"27,2848398616858"
VEN,Venezuela,2000,EN.POP.DNST,Population density (people per sq. km of land area),"27,8064826257015"
VEN,Venezuela,2001,EN.POP.DNST,Population density (people per sq. km of land area),"28,3203015702058"
VEN,Venezuela,2002,EN.POP.DNST,Population density (people per sq. km of land area),"28,8369945014455"
VEN,Venezuela,2003,EN.POP.DNST,Population density (people per sq. km of land area),"29,3551419987529"
VEN,Venezuela,2004,EN.POP.DNST,Population density (people per sq. km of land area),"29,8632027662831"
VEN,Venezuela,2005,EN.POP.DNST,Population density (people per sq. km of land area),"30,3676707669633"
VEN,Venezuela,2006,EN.POP.DNST,Population density (people per sq. km of land area),"30,8652411994785"
VEN,Venezuela,2007,EN.POP.DNST,Population density (people per sq. km of land area),"31,346707102772"
VEN,Venezuela,2008,EN.POP.DNST,Population density (people per sq. km of land area),"31,8051085539369"
VEN,Venezuela,2009,EN.POP.DNST,Population density (people per sq. km of land area),"32,2411405249136"
VEN,Venezuela,2010,EN.POP.DNST,Population density (people per sq. km of land area),"32,6660631483476"
VEN,Venezuela,2011,EN.POP.DNST,Population density (people per sq. km of land area),"33,0879337906014"
VEN,Venezuela,2012,EN.POP.DNST,Population density (people per sq. km of land area),"33,5058398049997"
VEN,Venezuela,2013,EN.POP.DNST,Population density (people per sq. km of land area),"33,9121342327532"
VEN,Venezuela,2014,EN.POP.DNST,Population density (people per sq. km of land area),"34,2997324414716"
VEN,Venezuela,2015,EN.POP.DNST,Population density (people per sq. km of land area),"34,662402358143"
VEN,Venezuela,2016,EN.POP.DNST,Population density (people per sq. km of land area),"34,8797913950456"
VEN,Venezuela,2017,EN.POP.DNST,Population density (people per sq. km of land area),"34,6525967915651"
VEN,Venezuela,2018,EN.POP.DNST,Population density (people per sq. km of land area),"33,7935400487501"
VEN,Venezuela,2019,EN.POP.DNST,Population density (people per sq. km of land area),"32,8077750694405"
VEN,Venezuela,2020,EN.POP.DNST,Population density (people per sq. km of land area),"32,2476923076923"
VEN,Venezuela,2021,EN.POP.DNST,Population density (people per sq. km of land area),"32,0138608922397"
VEN,Venezuela,2022,EN.POP.DNST,Population density (people per sq. km of land area),"31,9857343688"
VEN,Venezuela,2023,EN.POP.DNST,Population density (people per sq. km of land area),"32,0853171588912"
VEN,Venezuela,2024,EN.POP.DNST,Population density (people per sq. km of land area),
VEN,Venezuela,2025,EN.POP.DNST,Population density (people per sq. km of land area),
