country_code,country,year,indicator_code,indicator,value
VEN,Venezuela,1990,SP.POP.TOTL,"Population, total",19827010
VEN,Venezuela,1991,SP.POP.TOTL,"Population, total",20304896
VEN,Venezuela,1992,SP.POP.TOTL,"Population, total",20780948
VEN,Venezuela,1993,SP.POP.TOTL,"Population, total",21254520
VEN,Venezuela,1994,SP.POP.TOTL,"Population, total",21725188
VEN,Venezuela,1995,SP.POP.TOTL,"Population, total",22193821
VEN,Venezuela,1996,SP.POP.TOTL,"Population, total",22662113
VEN,Venezuela,1997,SP.POP.TOTL,"Population, total",23131685
VEN,Venezuela,1998,SP.POP.TOTL,"Population, total",23601337
VEN,Venezuela,1999,SP.POP.TOTL,"Population, total",24066593
VEN,Venezuela,2000,SP.POP.TOTL,"Population, total",24526708
VEN,Venezuela,2001,SP.POP.TOTL,"Population, total",24979922
VEN,Venezuela,2002,SP.POP.TOTL,"Population, total",25435671
VEN,Venezuela,2003,SP.POP.TOTL,"Population, total",25892703
VEN,Venezuela,2004,SP.POP.TOTL,"Population, total",26340838
VEN,Venezuela,2005,SP.POP.TOTL,"Population, total",26785804
VEN,Venezuela,2006,SP.POP.TOTL,"Population, total",27224686
VEN,Venezuela,2007,SP.POP.TOTL,"Population, total",27649363
VEN,Venezuela,2008,SP.POP.TOTL,"Population, total",28053696
VEN,Venezuela,2009,SP.POP.TOTL,"Population, total",28438298
VEN,Venezuela,2010,SP.POP.TOTL,"Population, total",28813101
VEN,Venezuela,2011,SP.POP.TOTL,"Population, total",29185212
VEN,Venezuela,2012,SP.POP.TOTL,"Population, total",29553826
VEN,Venezuela,2013,SP.POP.TOTL,"Population, total",29912198
VEN,Venezuela,2014,SP.POP.TOTL,"Population, total",30254079
VEN,Venezuela,2015,SP.POP.TOTL,"Population, total",30573972
VEN,Venezuela,2016,SP.POP.TOTL,"Population, total",30765720
VEN,Venezuela,2017,SP.POP.TOTL,"Population, total",30565323
VEN,Venezuela,2018,SP.POP.TOTL,"Population, total",29807592
VEN,Venezuela,2019,SP.POP.TOTL,"Population, total",28938098
VEN,Venezuela,2020,SP.POP.TOTL,"Population, total",28444077
VEN,Venezuela,2021,SP.POP.TOTL,"Population, total",28237826
VEN,Venezuela,2022,SP.POP.TOTL,"Population, total",28213017
VEN,Venezuela,2023,SP.POP.TOTL,"Population, total",28300854
VEN,Venezuela,2024,SP.POP.TOTL,"Population, total",28405543
VEN,Venezuela,2025,SP.POP.TOTL,"Population, total",
