country_code,country,year,indicator_code,indicator,value
VEN,Venezuela,1990,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",
VEN,Venezuela,1991,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","9,45"
VEN,Venezuela,1992,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","7,69"
VEN,Venezuela,1993,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","6,6"
VEN,Venezuela,1994,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","8,56"
VEN,Venezuela,1995,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","10,24"
VEN,Venezuela,1996,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","11,77"
VEN,Venezuela,1997,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","11,16"
VEN,Venezuela,1998,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","11,15"
VEN,Venezuela,1999,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","14,53"
VEN,Venezuela,2000,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","13,99"
VEN,Venezuela,2001,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","13,04"
VEN,Venezuela,2002,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","16,17"
VEN,Venezuela,2003,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","16,78"
VEN,Venezuela,2004,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","15,07"
VEN,Venezuela,2005,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","10,663"
VEN,Venezuela,2006,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","8,606"
VEN,Venezuela,2007,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","7,279"
VEN,Venezuela,2008,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","6,245"
VEN,Venezuela,2009,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","6,097"
VEN,Venezuela,2010,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","7,112"
VEN,Venezuela,2011,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","6,902"
VEN,Venezuela,2012,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","6,601"
VEN,Venezuela,2013,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","7,54"
VEN,Venezuela,2014,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","6,821"
VEN,Venezuela,2015,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","6,139"
VEN,Venezuela,2016,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","5,319"
VEN,Venezuela,2017,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","5,045"
VEN,Venezuela,2018,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","5,468"
VEN,Venezuela,2019,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","5,89"
VEN,Venezuela,2020,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","7,53"
VEN,Venezuela,2021,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","7,027"
VEN,Venezuela,2022,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","5,646"
VEN,Venezuela,2023,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","5,407"
VEN,Venezuela,2024,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","5,321"
VEN,Venezuela,2025,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","5,307"
