country_code,country,year,indicator_code,indicator,value
VEN,Venezuela,1990,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"16,6188595802626"
VEN,Venezuela,1991,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"16,2088186024541"
VEN,Venezuela,1992,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"15,8037200004309"
VEN,Venezuela,1993,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"15,4150478646584"
VEN,Venezuela,1994,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"15,0446426872233"
VEN,Venezuela,1995,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"14,6929447068644"
VEN,Venezuela,1996,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"14,3599842365582"
VEN,Venezuela,1997,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"14,0455965386705"
VEN,Venezuela,1998,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"13,7516956836997"
VEN,Venezuela,1999,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"13,4815545773266"
VEN,Venezuela,2000,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"13,2361229547098"
VEN,Venezuela,2001,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"13,0173292050672"
VEN,Venezuela,2002,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"12,7939590794703"
VEN,Venezuela,2003,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"12,5696255935109"
VEN,Venezuela,2004,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"12,3580531825045"
VEN,Venezuela,2005,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"12,1558182743485"
VEN,Venezuela,2006,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,9637872850275"
VEN,Venezuela,2007,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,7848719291662"
VEN,Venezuela,2008,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,620832048574"
VEN,Venezuela,2009,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,4704611034898"
VEN,Venezuela,2010,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,3291059442617"
VEN,Venezuela,2011,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,1937821769557"
VEN,Venezuela,2012,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,0663660738627"
VEN,Venezuela,2013,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"10,9471390999485"
VEN,Venezuela,2014,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"10,8367825757082"
VEN,Venezuela,2015,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"10,7366372434369"
VEN,Venezuela,2016,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"10,6829364468014"
VEN,Venezuela,2017,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"10,7662660629903"
VEN,Venezuela,2018,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,0536149064093"
VEN,Venezuela,2019,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,3846551577299"
VEN,Venezuela,2020,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,5913600236135"
VEN,Venezuela,2021,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,6984795135295"
VEN,Venezuela,2022,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,7474907667902"
VEN,Venezuela,2023,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,7669534741443"
VEN,Venezuela,2024,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,7960386060589"
VEN,Venezuela,2025,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"11,8370379018993"
