country_code,country,year,indicator_code,indicator,value
CUB,Cuba,2010,EN.POP.DNST,Population density (people per sq. km of land area),"106,138754227734"
CUB,Cuba,2011,EN.POP.DNST,Population density (people per sq. km of land area),"105,757568101214"
CUB,Cuba,2012,EN.POP.DNST,Population density (people per sq. km of land area),"105,984819360707"
CUB,Cuba,2013,EN.POP.DNST,Population density (people per sq. km of land area),"108,40689886778"
CUB,Cuba,2014,EN.POP.DNST,Population density (people per sq. km of land area),"108,496202653336"
CUB,Cuba,2015,EN.POP.DNST,Population density (people per sq. km of land area),"108,309942363112"
CUB,Cuba,2016,EN.POP.DNST,Population density (people per sq. km of land area),"108,2815455594"
CUB,Cuba,2017,EN.POP.DNST,Population density (people per sq. km of land area),"108,360587668593"
CUB,Cuba,2018,EN.POP.DNST,Population density (people per sq. km of land area),"108,16105973025"
CUB,Cuba,2019,EN.POP.DNST,Population density (people per sq. km of land area),"107,927225433526"
CUB,Cuba,2020,EN.POP.DNST,Population density (people per sq. km of land area),"107,672003853565"
CUB,Cuba,2021,EN.POP.DNST,Population density (people per sq. km of land area),"107,149980732177"
CUB,Cuba,2022,EN.POP.DNST,Population density (people per sq. km of land area),"106,549325626204"
CUB,Cuba,2023,EN.POP.DNST,Population density (people per sq. km of land area),"106,165038535645"
CUB,Cuba,2024,EN.POP.DNST,Population density (people per sq. km of land area),
CUB,Cuba,2025,EN.POP.DNST,Population density (people per sq. km of land area),
ESP,Spain,2010,EN.POP.DNST,Population density (people per sq. km of land area),"93,1519309613808"
ESP,Spain,2011,EN.POP.DNST,Population density (people per sq. km of land area),"93,5078358806114"
ESP,Spain,2012,EN.POP.DNST,Population density (people per sq. km of land area),"93,5068371284061"
ESP,Spain,2013,EN.POP.DNST,Population density (people per sq. km of land area),"93,169262909578"
ESP,Spain,2014,EN.POP.DNST,Population density (people per sq. km of land area),"92,8824553687451"
ESP,Spain,2015,EN.POP.DNST,Population density (people per sq. km of land area),"92,907597351004"
ESP,Spain,2016,EN.POP.DNST,Population density (people per sq. km of land area),"92,9973717081295"
ESP,Spain,2017,EN.POP.DNST,Population density (people per sq. km of land area),"93,2268622784207"
ESP,Spain,2018,EN.POP.DNST,Population density (people per sq. km of land area),"93,638281089712"
ESP,Spain,2019,EN.POP.DNST,Population density (people per sq. km of land area),"94,3181087826492"
ESP,Spain,2020,EN.POP.DNST,Population density (people per sq. km of land area),"94,802910688937"
ESP,Spain,2021,EN.POP.DNST,Population density (people per sq. km of land area),"94,9382927184248"
ESP,Spain,2022,EN.POP.DNST,Population density (people per sq. km of land area),"95,626963633201"
ESP,Spain,2023,EN.POP.DNST,Population density (people per sq. km of land area),"96,7636173412149"
ESP,Spain,2024,EN.POP.DNST,Population density (people per sq. km of land area),
ESP,Spain,2025,EN.POP.DNST,Population density (people per sq. km of land area),
SGP,Singapore,2010,EN.POP.DNST,Population density (people per sq. km of land area),"7231,81196581197"
SGP,Singapore,2011,EN.POP.DNST,Population density (people per sq. km of land area),"7363,19318181818"
SGP,Singapore,2012,EN.POP.DNST,Population density (people per sq. km of land area),"7524,69830028329"
SGP,Singapore,2013,EN.POP.DNST,Population density (people per sq. km of land area),"7636,72135785007"
SGP,Singapore,2014,EN.POP.DNST,Population density (people per sq. km of land area),"7714,7023977433"
SGP,Singapore,2015,EN.POP.DNST,Population density (people per sq. km of land area),"7806,77291960508"
SGP,Singapore,2016,EN.POP.DNST,Population density (people per sq. km of land area),"7908,72073342736"
SGP,Singapore,2017,EN.POP.DNST,Population density (people per sq. km of land area),"7882,37780898876"
SGP,Singapore,2018,EN.POP.DNST,Population density (people per sq. km of land area),"7897,30532212885"
SGP,Singapore,2019,EN.POP.DNST,Population density (people per sq. km of land area),"7965,87849162011"
SGP,Singapore,2020,EN.POP.DNST,Population density (people per sq. km of land area),"7918,95125348189"
SGP,Singapore,2021,EN.POP.DNST,Population density (people per sq. km of land area),"7595,49582172702"
SGP,Singapore,2022,EN.POP.DNST,Population density (people per sq. km of land area),"7851,00557103064"
SGP,Singapore,2023,EN.POP.DNST,Population density (people per sq. km of land area),"8241,8495821727"
SGP,Singapore,2024,EN.POP.DNST,Population density (people per sq. km of land area),
SGP,Singapore,2025,EN.POP.DNST,Population density (people per sq. km of land area),
