country_code,country,year,indicator_code,indicator,value
CUB,Cuba,2010,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"24,7612258208756"
CUB,Cuba,2011,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"24,6354466880397"
CUB,Cuba,2012,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"24,5246399733958"
CUB,Cuba,2013,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"24,4388251617784"
CUB,Cuba,2014,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"24,4388881643739"
CUB,Cuba,2015,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"24,502758972791"
CUB,Cuba,2016,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"24,559270804372"
CUB,Cuba,2017,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"24,6316525895509"
CUB,Cuba,2018,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"24,7086612643345"
CUB,Cuba,2019,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"24,7664155379386"
CUB,Cuba,2020,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"24,8370391420522"
CUB,Cuba,2021,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"24,9895306793951"
CUB,Cuba,2022,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"25,161305907391"
CUB,Cuba,2023,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"25,2838168535483"
CUB,Cuba,2024,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"25,4052981612855"
CUB,Cuba,2025,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"25,5295636692294"
ESP,Spain,2010,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"15,8258215450069"
ESP,Spain,2011,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"15,9626521615129"
ESP,Spain,2012,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"16,1543313023115"
ESP,Spain,2013,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"16,4196705621099"
ESP,Spain,2014,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"16,6818613455829"
ESP,Spain,2015,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"16,9118214106005"
ESP,Spain,2016,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"17,1196926925798"
ESP,Spain,2017,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"17,3038932788478"
ESP,Spain,2018,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"17,4565485459177"
ESP,Spain,2019,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"17,4801448089958"
ESP,Spain,2020,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"17,5329187686036"
ESP,Spain,2021,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"17,6178564407025"
ESP,Spain,2022,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"17,5713894614959"
ESP,Spain,2023,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"17,4255308885204"
ESP,Spain,2024,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"17,2896122281415"
ESP,Spain,2025,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"17,3294089983829"
SGP,Singapore,2010,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"99,951149676603"
SGP,Singapore,2011,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"99,852016556552"
SGP,Singapore,2012,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"99,2192095642734"
SGP,Singapore,2013,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"99,2901676223088"
SGP,Singapore,2014,EN.URB.LCTY.UR.ZS,Urban population (% of total population),"99,6090844803138"
SGP,Singapore,2015,EN.URB.LCTY.UR.ZS,Urban population (% of total population),100
SGP,Singapore,2016,EN.URB.LCTY.UR.ZS,Urban population (% of total population),100
SGP,Singapore,2017,EN.URB.LCTY.UR.ZS,Urban population (% of total population),100
SGP,Singapore,2018,EN.URB.LCTY.UR.ZS,Urban population (% of total population),100
SGP,Singapore,2019,EN.URB.LCTY.UR.ZS,Urban population (% of total population),100
SGP,Singapore,2020,EN.URB.LCTY.UR.ZS,Urban population (% of total population),100
SGP,Singapore,2021,EN.URB.LCTY.UR.ZS,Urban population (% of total population),100
SGP,Singapore,2022,EN.URB.LCTY.UR.ZS,Urban population (% of total population),100
SGP,Singapore,2023,EN.URB.LCTY.UR.ZS,Urban population (% of total population),100
SGP,Singapore,2024,EN.URB.LCTY.UR.ZS,Urban population (% of total population),100
SGP,Singapore,2025,EN.URB.LCTY.UR.ZS,Urban population (% of total population),100
