country_code,country,year,indicator_code,indicator,value
CUB,Cuba,2010,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"69,6395562911815"
CUB,Cuba,2011,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"69,541831839131"
CUB,Cuba,2012,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"69,4125956020058"
CUB,Cuba,2013,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"69,2751590025551"
CUB,Cuba,2014,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"69,177554524277"
CUB,Cuba,2015,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"69,1005980497939"
CUB,Cuba,2016,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"69,0352774443146"
CUB,Cuba,2017,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"68,9697496290173"
CUB,Cuba,2018,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"68,8443538601961"
CUB,Cuba,2019,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"68,6787371406008"
CUB,Cuba,2020,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"68,5249769289699"
CUB,Cuba,2021,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"68,4894721744236"
CUB,Cuba,2022,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"68,4471221050614"
CUB,Cuba,2023,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"68,2904942095597"
CUB,Cuba,2024,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"68,1369704665384"
CUB,Cuba,2025,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),
ESP,Spain,2010,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"68,1859842081222"
ESP,Spain,2011,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"67,8223406857849"
ESP,Spain,2012,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"67,4834730652077"
ESP,Spain,2013,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"67,0770392025555"
ESP,Spain,2014,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"66,6930927877804"
ESP,Spain,2015,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"66,4614550787613"
ESP,Spain,2016,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"66,3143685616246"
ESP,Spain,2017,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"66,1865982307919"
ESP,Spain,2018,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"66,1319737035927"
ESP,Spain,2019,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"66,1693765330282"
ESP,Spain,2020,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"66,2408766587242"
ESP,Spain,2021,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"66,2783015470184"
ESP,Spain,2022,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"66,2160904145149"
ESP,Spain,2023,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"66,0876417150889"
ESP,Spain,2024,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"65,9328112372132"
ESP,Spain,2025,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),
SGP,Singapore,2010,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"78,5292890663685"
SGP,Singapore,2011,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"78,7713862675959"
SGP,Singapore,2012,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"78,8186833661434"
SGP,Singapore,2013,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"78,7282392629886"
SGP,Singapore,2014,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"78,546922809139"
SGP,Singapore,2015,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"78,3192236422757"
SGP,Singapore,2016,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"78,0308714909358"
SGP,Singapore,2017,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"77,6111451686482"
SGP,Singapore,2018,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"77,1869683023096"
SGP,Singapore,2019,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"76,8118792234851"
SGP,Singapore,2020,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"76,2405295018345"
SGP,Singapore,2021,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"75,5729505669556"
SGP,Singapore,2022,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"75,3038137328294"
SGP,Singapore,2023,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"75,1171578881273"
SGP,Singapore,2024,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"74,6576230281015"
SGP,Singapore,2025,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),
