country_code,country,year,indicator_code,indicator,value
CUB,Cuba,2010,NY.GDP.PCAP.CD,GDP per capita (current US$),"5272,26755824835"
CUB,Cuba,2011,NY.GDP.PCAP.CD,GDP per capita (current US$),"6104,46105236166"
CUB,Cuba,2012,NY.GDP.PCAP.CD,GDP per capita (current US$),"6470,83673392653"
CUB,Cuba,2013,NY.GDP.PCAP.CD,GDP per capita (current US$),"6828,36428245396"
CUB,Cuba,2014,NY.GDP.PCAP.CD,GDP per capita (current US$),"7146,70459051328"
CUB,Cuba,2015,NY.GDP.PCAP.CD,GDP per capita (current US$),"7727,91997207998"
CUB,Cuba,2016,NY.GDP.PCAP.CD,GDP per capita (current US$),"8110,55874283616"
CUB,Cuba,2017,NY.GDP.PCAP.CD,GDP per capita (current US$),"8610,60829605429"
CUB,Cuba,2018,NY.GDP.PCAP.CD,GDP per capita (current US$),"8911,46205998726"
CUB,Cuba,2019,NY.GDP.PCAP.CD,GDP per capita (current US$),"9232,26115935183"
CUB,Cuba,2020,NY.GDP.PCAP.CD,GDP per capita (current US$),"9605,27914559614"
CUB,Cuba,2021,NY.GDP.PCAP.CD,GDP per capita (current US$),
CUB,Cuba,2022,NY.GDP.PCAP.CD,GDP per capita (current US$),
CUB,Cuba,2023,NY.GDP.PCAP.CD,GDP per capita (current US$),
CUB,Cuba,2024,NY.GDP.PCAP.CD,GDP per capita (current US$),
CUB,Cuba,2025,NY.GDP.PCAP.CD,GDP per capita (current US$),
ESP,Spain,2010,NY.GDP.PCAP.CD,GDP per capita (current US$),"30658,7422282912"
ESP,Spain,2011,NY.GDP.PCAP.CD,GDP per capita (current US$),"31824,6219134777"
ESP,Spain,2012,NY.GDP.PCAP.CD,GDP per capita (current US$),"28456,4438151477"
ESP,Spain,2013,NY.GDP.PCAP.CD,GDP per capita (current US$),"29228,846559842"
ESP,Spain,2014,NY.GDP.PCAP.CD,GDP per capita (current US$),"29707,765509467"
ESP,Spain,2015,NY.GDP.PCAP.CD,GDP per capita (current US$),"25982,4416197775"
ESP,Spain,2016,NY.GDP.PCAP.CD,GDP per capita (current US$),"26755,6061149398"
ESP,Spain,2017,NY.GDP.PCAP.CD,GDP per capita (current US$),"28381,3425596906"
ESP,Spain,2018,NY.GDP.PCAP.CD,GDP per capita (current US$),"30602,4212881113"
ESP,Spain,2019,NY.GDP.PCAP.CD,GDP per capita (current US$),"29786,5245689007"
ESP,Spain,2020,NY.GDP.PCAP.CD,GDP per capita (current US$),"27233,9426461608"
ESP,Spain,2021,NY.GDP.PCAP.CD,GDP per capita (current US$),"30799,4775937775"
ESP,Spain,2022,NY.GDP.PCAP.CD,GDP per capita (current US$),"30319,4987196616"
ESP,Spain,2023,NY.GDP.PCAP.CD,GDP per capita (current US$),"33493,2225409111"
ESP,Spain,2024,NY.GDP.PCAP.CD,GDP per capita (current US$),"35326,7683069278"
ESP,Spain,2025,NY.GDP.PCAP.CD,GDP per capita (current US$),
SGP,Singapore,2010,NY.GDP.PCAP.CD,GDP per capita (current US$),"47236,683084953"
SGP,Singapore,2011,NY.GDP.PCAP.CD,GDP per capita (current US$),"53891,4570264372"
SGP,Singapore,2012,NY.GDP.PCAP.CD,GDP per capita (current US$),"55547,5553077786"
SGP,Singapore,2013,NY.GDP.PCAP.CD,GDP per capita (current US$),"56967,4257940383"
SGP,Singapore,2014,NY.GDP.PCAP.CD,GDP per capita (current US$),"57564,8023114977"
SGP,Singapore,2015,NY.GDP.PCAP.CD,GDP per capita (current US$),"55645,6068614606"
SGP,Singapore,2016,NY.GDP.PCAP.CD,GDP per capita (current US$),"57005,5887176547"
SGP,Singapore,2017,NY.GDP.PCAP.CD,GDP per capita (current US$),"61236,251270627"
SGP,Singapore,2018,NY.GDP.PCAP.CD,GDP per capita (current US$),"66881,6067035265"
SGP,Singapore,2019,NY.GDP.PCAP.CD,GDP per capita (current US$),"65952,0378959293"
SGP,Singapore,2020,NY.GDP.PCAP.CD,GDP per capita (current US$),"61410,0792630788"
SGP,Singapore,2021,NY.GDP.PCAP.CD,GDP per capita (current US$),"80056,1288247844"
SGP,Singapore,2022,NY.GDP.PCAP.CD,GDP per capita (current US$),"90299,0694637269"
SGP,Singapore,2023,NY.GDP.PCAP.CD,GDP per capita (current US$),"85412,230345235"
SGP,Singapore,2024,NY.GDP.PCAP.CD,GDP per capita (current US$),"90674,066632628"
SGP,Singapore,2025,NY.GDP.PCAP.CD,GDP per capita (current US$),
