country_code,country,year,indicator_code,indicator,value
CUB,Cuba,2010,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2011,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2012,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2013,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2014,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2015,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2016,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2017,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2018,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2019,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2020,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2021,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2022,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2023,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2024,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
CUB,Cuba,2025,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
ESP,Spain,2010,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","1,79986457728769"
ESP,Spain,2011,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","3,1961018883379"
ESP,Spain,2012,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","2,44612782366809"
ESP,Spain,2013,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","1,40858109183019"
ESP,Spain,2014,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","-0,151114837527235"
ESP,Spain,2015,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","-0,500365709903242"
ESP,Spain,2016,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","-0,202598000426452"
ESP,Spain,2017,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","1,95607633363963"
ESP,Spain,2018,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","1,6749813686379"
ESP,Spain,2019,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","0,699518994458739"
ESP,Spain,2020,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","-0,322753017299739"
ESP,Spain,2021,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","3,0931351197642"
ESP,Spain,2022,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","8,39057634118627"
ESP,Spain,2023,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","3,53236133492433"
ESP,Spain,2024,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","2,77417826534772"
ESP,Spain,2025,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
SGP,Singapore,2010,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","2,82884527612958"
SGP,Singapore,2011,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","5,25115624639373"
SGP,Singapore,2012,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","4,58084479423094"
SGP,Singapore,2013,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","2,36439793742726"
SGP,Singapore,2014,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","1,03316955857629"
SGP,Singapore,2015,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","-0,521975611895763"
SGP,Singapore,2016,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","-0,529809760375464"
SGP,Singapore,2017,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","0,576763191179996"
SGP,Singapore,2018,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","0,438784215129623"
SGP,Singapore,2019,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","0,567829988405447"
SGP,Singapore,2020,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","-0,172111865925382"
SGP,Singapore,2021,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","2,31610315765146"
SGP,Singapore,2022,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","6,13095418919732"
SGP,Singapore,2023,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","4,83372362825798"
SGP,Singapore,2024,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","2,38951123595017"
SGP,Singapore,2025,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
