country_code,country,year,indicator_code,indicator,value
CUB,Cuba,2010,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2011,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2012,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2013,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2014,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2015,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2016,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2017,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2018,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2019,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2020,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2021,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2022,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2023,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2024,FR.INR.LEND,Lending interest rate (%),
CUB,Cuba,2025,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2010,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2011,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2012,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2013,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2014,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2015,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2016,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2017,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2018,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2019,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2020,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2021,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2022,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2023,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2024,FR.INR.LEND,Lending interest rate (%),
ESP,Spain,2025,FR.INR.LEND,Lending interest rate (%),
SGP,Singapore,2010,FR.INR.LEND,Lending interest rate (%),"5,38"
SGP,Singapore,2011,FR.INR.LEND,Lending interest rate (%),"5,38"
SGP,Singapore,2012,FR.INR.LEND,Lending interest rate (%),"5,38"
SGP,Singapore,2013,FR.INR.LEND,Lending interest rate (%),"5,38"
SGP,Singapore,2014,FR.INR.LEND,Lending interest rate (%),"5,35"
SGP,Singapore,2015,FR.INR.LEND,Lending interest rate (%),"5,35"
SGP,Singapore,2016,FR.INR.LEND,Lending interest rate (%),"5,35"
SGP,Singapore,2017,FR.INR.LEND,Lending interest rate (%),"5,28"
SGP,Singapore,2018,FR.INR.LEND,Lending interest rate (%),"5,33"
SGP,Singapore,2019,FR.INR.LEND,Lending interest rate (%),"5,25"
SGP,Singapore,2020,FR.INR.LEND,Lending interest rate (%),"5,25"
SGP,Singapore,2021,FR.INR.LEND,Lending interest rate (%),"5,25"
SGP,Singapore,2022,FR.INR.LEND,Lending interest rate (%),
SGP,Singapore,2023,FR.INR.LEND,Lending interest rate (%),
SGP,Singapore,2024,FR.INR.LEND,Lending interest rate (%),
SGP,Singapore,2025,FR.INR.LEND,Lending interest rate (%),
