country_code,country,year,indicator_code,indicator,value
CUB,Cuba,2010,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","2,5"
CUB,Cuba,2011,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","3,18"
CUB,Cuba,2012,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","3,46"
CUB,Cuba,2013,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","3,29"
CUB,Cuba,2014,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","2,7"
CUB,Cuba,2015,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","2,4"
CUB,Cuba,2016,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",2
CUB,Cuba,2017,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","1,7"
CUB,Cuba,2018,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","1,7"
CUB,Cuba,2019,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","1,705"
CUB,Cuba,2020,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","2,233"
CUB,Cuba,2021,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","2,11"
CUB,Cuba,2022,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","1,829"
CUB,Cuba,2023,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","1,73"
CUB,Cuba,2024,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","1,755"
CUB,Cuba,2025,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","1,746"
ESP,Spain,2010,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","19,86"
ESP,Spain,2011,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","21,39"
ESP,Spain,2012,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","24,789"
ESP,Spain,2013,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","26,094"
ESP,Spain,2014,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","24,441"
ESP,Spain,2015,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","22,057"
ESP,Spain,2016,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","19,635"
ESP,Spain,2017,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","17,224"
ESP,Spain,2018,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","15,255"
ESP,Spain,2019,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","14,104"
ESP,Spain,2020,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","15,532"
ESP,Spain,2021,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","14,914"
ESP,Spain,2022,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","13,033"
ESP,Spain,2023,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","12,179"
ESP,Spain,2024,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","11,4"
ESP,Spain,2025,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","10,376"
SGP,Singapore,2010,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","4,12"
SGP,Singapore,2011,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","3,89"
SGP,Singapore,2012,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","3,72"
SGP,Singapore,2013,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","3,86"
SGP,Singapore,2014,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","3,74"
SGP,Singapore,2015,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","3,79"
SGP,Singapore,2016,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","4,08"
SGP,Singapore,2017,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","4,2"
SGP,Singapore,2018,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","3,613"
SGP,Singapore,2019,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","3,1"
SGP,Singapore,2020,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","4,1"
SGP,Singapore,2021,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","4,64"
SGP,Singapore,2022,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","3,591"
SGP,Singapore,2023,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","3,444"
SGP,Singapore,2024,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","2,737"
SGP,Singapore,2025,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)","2,818"
