country_code,country,year,indicator_code,indicator,value
CUB,Cuba,2010,SM.POP.NETM,Net migration,-34121
CUB,Cuba,2011,SM.POP.NETM,Net migration,-35313
CUB,Cuba,2012,SM.POP.NETM,Net migration,-36101
CUB,Cuba,2013,SM.POP.NETM,Net migration,-37619
CUB,Cuba,2014,SM.POP.NETM,Net migration,-39426
CUB,Cuba,2015,SM.POP.NETM,Net migration,-24910
CUB,Cuba,2016,SM.POP.NETM,Net migration,-24146
CUB,Cuba,2017,SM.POP.NETM,Net migration,-23394
CUB,Cuba,2018,SM.POP.NETM,Net migration,-23779
CUB,Cuba,2019,SM.POP.NETM,Net migration,-23955
CUB,Cuba,2020,SM.POP.NETM,Net migration,-11976
CUB,Cuba,2021,SM.POP.NETM,Net migration,-11976
CUB,Cuba,2022,SM.POP.NETM,Net migration,-23149
CUB,Cuba,2023,SM.POP.NETM,Net migration,-22797
CUB,Cuba,2024,SM.POP.NETM,Net migration,-22356
CUB,Cuba,2025,SM.POP.NETM,Net migration,-22244
ESP,Spain,2010,SM.POP.NETM,Net migration,69406
ESP,Spain,2011,SM.POP.NETM,Net migration,60761
ESP,Spain,2012,SM.POP.NETM,Net migration,-153486
ESP,Spain,2013,SM.POP.NETM,Net migration,-250741
ESP,Spain,2014,SM.POP.NETM,Net migration,-97870
ESP,Spain,2015,SM.POP.NETM,Net migration,-1979
ESP,Spain,2016,SM.POP.NETM,Net migration,106474
ESP,Spain,2017,SM.POP.NETM,Net migration,201135
ESP,Spain,2018,SM.POP.NETM,Net migration,337467
ESP,Spain,2019,SM.POP.NETM,Net migration,464783
ESP,Spain,2020,SM.POP.NETM,Net migration,236854
ESP,Spain,2021,SM.POP.NETM,Net migration,144385
ESP,Spain,2022,SM.POP.NETM,Net migration,299779
ESP,Spain,2023,SM.POP.NETM,Net migration,119099
ESP,Spain,2024,SM.POP.NETM,Net migration,111674
ESP,Spain,2025,SM.POP.NETM,Net migration,96630
SGP,Singapore,2010,SM.POP.NETM,Net migration,72571
SGP,Singapore,2011,SM.POP.NETM,Net migration,89856
SGP,Singapore,2012,SM.POP.NETM,Net migration,78501
SGP,Singapore,2013,SM.POP.NETM,Net migration,52176
SGP,Singapore,2014,SM.POP.NETM,Net migration,40154
SGP,Singapore,2015,SM.POP.NETM,Net migration,41852
SGP,Singapore,2016,SM.POP.NETM,Net migration,13737
SGP,Singapore,2017,SM.POP.NETM,Net migration,-8880
SGP,Singapore,2018,SM.POP.NETM,Net migration,21820
SGP,Singapore,2019,SM.POP.NETM,Net migration,870
SGP,Singapore,2020,SM.POP.NETM,Net migration,-145556
SGP,Singapore,2021,SM.POP.NETM,Net migration,-44030
SGP,Singapore,2022,SM.POP.NETM,Net migration,214842
SGP,Singapore,2023,SM.POP.NETM,Net migration,26996
SGP,Singapore,2024,SM.POP.NETM,Net migration,20011
SGP,Singapore,2025,SM.POP.NETM,Net migration,16892
