country_code,country,year,indicator_code,indicator,value
CUB,Cuba,2010,ST.INT.ARVL,"International tourism, number of arrivals",2532000
CUB,Cuba,2011,ST.INT.ARVL,"International tourism, number of arrivals",2716000
CUB,Cuba,2012,ST.INT.ARVL,"International tourism, number of arrivals",2847000
CUB,Cuba,2013,ST.INT.ARVL,"International tourism, number of arrivals",2862000
CUB,Cuba,2014,ST.INT.ARVL,"International tourism, number of arrivals",3014000
CUB,Cuba,2015,ST.INT.ARVL,"International tourism, number of arrivals",3540000
CUB,Cuba,2016,ST.INT.ARVL,"International tourism, number of arrivals",4009000
CUB,Cuba,2017,ST.INT.ARVL,"International tourism, number of arrivals",4654000
CUB,Cuba,2018,ST.INT.ARVL,"International tourism, number of arrivals",4712000
CUB,Cuba,2019,ST.INT.ARVL,"International tourism, number of arrivals",4276000
CUB,Cuba,2020,ST.INT.ARVL,"International tourism, number of arrivals",1086000
CUB,Cuba,2021,ST.INT.ARVL,"International tourism, number of arrivals",
CUB,Cuba,2022,ST.INT.ARVL,"International tourism, number of arrivals",
CUB,Cuba,2023,ST.INT.ARVL,"International tourism, number of arrivals",
CUB,Cuba,2024,ST.INT.ARVL,"International tourism, number of arrivals",
CUB,Cuba,2025,ST.INT.ARVL,"International tourism, number of arrivals",
ESP,Spain,2010,ST.INT.ARVL,"International tourism, number of arrivals",93744000
ESP,Spain,2011,ST.INT.ARVL,"International tourism, number of arrivals",99187000
ESP,Spain,2012,ST.INT.ARVL,"International tourism, number of arrivals",98128000
ESP,Spain,2013,ST.INT.ARVL,"International tourism, number of arrivals",103231000
ESP,Spain,2014,ST.INT.ARVL,"International tourism, number of arrivals",107144000
ESP,Spain,2015,ST.INT.ARVL,"International tourism, number of arrivals",109834000
ESP,Spain,2016,ST.INT.ARVL,"International tourism, number of arrivals",115561000
ESP,Spain,2017,ST.INT.ARVL,"International tourism, number of arrivals",121717000
ESP,Spain,2018,ST.INT.ARVL,"International tourism, number of arrivals",124456000
ESP,Spain,2019,ST.INT.ARVL,"International tourism, number of arrivals",126170000
ESP,Spain,2020,ST.INT.ARVL,"International tourism, number of arrivals",36410000
ESP,Spain,2021,ST.INT.ARVL,"International tourism, number of arrivals",
ESP,Spain,2022,ST.INT.ARVL,"International tourism, number of arrivals",
ESP,Spain,2023,ST.INT.ARVL,"International tourism, number of arrivals",
ESP,Spain,2024,ST.INT.ARVL,"International tourism, number of arrivals",
ESP,Spain,2025,ST.INT.ARVL,"International tourism, number of arrivals",
SGP,Singapore,2010,ST.INT.ARVL,"International tourism, number of arrivals",11642000
SGP,Singapore,2011,ST.INT.ARVL,"International tourism, number of arrivals",13171000
SGP,Singapore,2012,ST.INT.ARVL,"International tourism, number of arrivals",14496000
SGP,Singapore,2013,ST.INT.ARVL,"International tourism, number of arrivals",15568000
SGP,Singapore,2014,ST.INT.ARVL,"International tourism, number of arrivals",15095000
SGP,Singapore,2015,ST.INT.ARVL,"International tourism, number of arrivals",15231500
SGP,Singapore,2016,ST.INT.ARVL,"International tourism, number of arrivals",16403000
SGP,Singapore,2017,ST.INT.ARVL,"International tourism, number of arrivals",17425000
SGP,Singapore,2018,ST.INT.ARVL,"International tourism, number of arrivals",18508000
SGP,Singapore,2019,ST.INT.ARVL,"International tourism, number of arrivals",19116000
SGP,Singapore,2020,ST.INT.ARVL,"International tourism, number of arrivals",2742000
SGP,Singapore,2021,ST.INT.ARVL,"International tourism, number of arrivals",
SGP,Singapore,2022,ST.INT.ARVL,"International tourism, number of arrivals",
SGP,Singapore,2023,ST.INT.ARVL,"International tourism, number of arrivals",
SGP,Singapore,2024,ST.INT.ARVL,"International tourism, number of arrivals",
SGP,Singapore,2025,ST.INT.ARVL,"International tourism, number of arrivals",
