Secciones de la CNAE-09	Tipo de coste	Periodo	Total
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2014T4	108,1
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2014T3	108,3
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2014T2	108,2
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2014T1	107,8
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2013T4	107,9
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2013T3	107,8
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2013T2	106,9
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2013T1	107,2
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2012T4	104,5
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2012T3	107,5
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2012T2	107,4
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2012T1	107,9
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2011T4	108,1
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2011T3	107,3
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2011T2	106,8
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2011T1	106
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2010T4	105,4
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2010T3	104,5
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2010T2	105,3
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2010T1	105
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2009T4	105,6
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2009T3	105,6
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2009T2	104,3
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2009T1	103,1
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2008T4	101,8
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2008T3	100,7
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2008T2	99,4
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2008T1	98,1
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2007T4	97,2
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2007T3	96,3
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2007T2	95,1
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2007T1	93,6
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2006T4	92,5
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2006T3	91,2
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2006T2	90,9
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2006T1	90
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2005T4	89,7
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2005T3	88,4
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2005T2	88,2
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2005T1	87,2
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2004T4	86,5
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2004T3	85,9
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2004T2	85,1
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2004T1	84,7
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2003T4	83,7
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2003T3	82,4
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2003T2	81,4
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2003T1	80,7
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2002T4	79,2
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2002T3	78,5
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2002T2	77
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2002T1	75,8
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2001T4	74,9
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2001T3	74,7
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2001T2	73,2
B_S TODAS	Coste laboral total por hora efectiva de trabajo	2001T1	72,5
