Comunidades y Ciudades Autónomas	Naturaleza de la finca	Número e importe	Periodo	Total
Total Nacional	Total fincas	Número de hipotecas	2025	643.870
Total Nacional	Total fincas	Número de hipotecas	2024	547.263
Total Nacional	Total fincas	Número de hipotecas	2023	496.637
Total Nacional	Total fincas	Número de hipotecas	2022	608.656
Total Nacional	Total fincas	Número de hipotecas	2021	558.210
Total Nacional	Total fincas	Número de hipotecas	2020	466.580
Total Nacional	Total fincas	Número de hipotecas	2019	497.720
Total Nacional	Total fincas	Número de hipotecas	2018	481.848
Total Nacional	Total fincas	Número de hipotecas	2017	432.952
Total Nacional	Total fincas	Número de hipotecas	2016	400.873
Total Nacional	Total fincas	Número de hipotecas	2015	371.981
Total Nacional	Total fincas	Número de hipotecas	2014	315.535
Total Nacional	Total fincas	Número de hipotecas	2013	326.978
Total Nacional	Total fincas	Número de hipotecas	2012	456.765
Total Nacional	Total fincas	Número de hipotecas	2011	651.759
Total Nacional	Total fincas	Número de hipotecas	2010	960.948
Total Nacional	Total fincas	Número de hipotecas	2009	1.082.587
Total Nacional	Total fincas	Número de hipotecas	2008	1.283.374
Total Nacional	Total fincas	Número de hipotecas	2007	1.780.627
Total Nacional	Total fincas	Número de hipotecas	2006	1.896.515
Total Nacional	Total fincas	Número de hipotecas	2005	1.798.630
Total Nacional	Total fincas	Número de hipotecas	2004	1.608.497
Total Nacional	Total fincas	Número de hipotecas	2003	1.357.242
Total Nacional	Total fincas	Importe de hipotecas	2025	117.145.597
Total Nacional	Total fincas	Importe de hipotecas	2024	91.818.580
Total Nacional	Total fincas	Importe de hipotecas	2023	82.377.960
Total Nacional	Total fincas	Importe de hipotecas	2022	96.350.118
Total Nacional	Total fincas	Importe de hipotecas	2021	82.541.078
Total Nacional	Total fincas	Importe de hipotecas	2020	70.054.869
Total Nacional	Total fincas	Importe de hipotecas	2019	73.716.908
Total Nacional	Total fincas	Importe de hipotecas	2018	69.483.231
Total Nacional	Total fincas	Importe de hipotecas	2017	61.264.688
Total Nacional	Total fincas	Importe de hipotecas	2016	53.610.362
Total Nacional	Total fincas	Importe de hipotecas	2015	48.936.163
Total Nacional	Total fincas	Importe de hipotecas	2014	41.097.804
Total Nacional	Total fincas	Importe de hipotecas	2013	37.484.012
Total Nacional	Total fincas	Importe de hipotecas	2012	51.743.707
Total Nacional	Total fincas	Importe de hipotecas	2011	77.957.706
Total Nacional	Total fincas	Importe de hipotecas	2010	122.490.463
Total Nacional	Total fincas	Importe de hipotecas	2009	149.290.543
Total Nacional	Total fincas	Importe de hipotecas	2008	206.027.990
Total Nacional	Total fincas	Importe de hipotecas	2007	299.688.005
Total Nacional	Total fincas	Importe de hipotecas	2006	297.114.754
Total Nacional	Total fincas	Importe de hipotecas	2005	247.468.700
Total Nacional	Total fincas	Importe de hipotecas	2004	194.674.761
Total Nacional	Total fincas	Importe de hipotecas	2003	141.994.605
Total Nacional	Total fincas rústicas	Número de hipotecas	2025	10.366
Total Nacional	Total fincas rústicas	Número de hipotecas	2024	9.366
Total Nacional	Total fincas rústicas	Número de hipotecas	2023	9.557
Total Nacional	Total fincas rústicas	Número de hipotecas	2022	11.673
Total Nacional	Total fincas rústicas	Número de hipotecas	2021	13.290
Total Nacional	Total fincas rústicas	Número de hipotecas	2020	12.014
Total Nacional	Total fincas rústicas	Número de hipotecas	2019	14.973
