Tipo de interés	Naturaleza de la finca	Periodo	Total
Total	Total fincas	2025M12	100,0
Total	Total fincas	2025M11	100,0
Total	Total fincas	2025M10	100,0
Total	Total fincas	2025M09	100,0
Total	Total fincas	2025M08	100,0
Total	Total fincas	2025M07	100,0
Total	Total fincas	2025M06	100,0
Total	Total fincas	2025M05	100,0
Total	Total fincas	2025M04	100,0
Total	Total fincas	2025M03	100,0
Total	Total fincas	2025M02	100,0
Total	Total fincas	2025M01	100,0
Total	Total fincas	2024M12	100,0
Total	Total fincas	2024M11	100,0
Total	Total fincas	2024M10	100,0
Total	Total fincas	2024M09	100,0
Total	Total fincas	2024M08	100,0
Total	Total fincas	2024M07	100,0
Total	Total fincas	2024M06	100,0
Total	Total fincas	2024M05	100,0
Total	Total fincas	2024M04	100,0
Total	Total fincas	2024M03	100,0
Total	Total fincas	2024M02	100,0
Total	Total fincas	2024M01	100,0
Total	Total fincas	2023M12	100,0
Total	Total fincas	2023M11	100,0
Total	Total fincas	2023M10	100,0
Total	Total fincas	2023M09	100,0
Total	Total fincas	2023M08	100,0
Total	Total fincas	2023M07	100,0
Total	Total fincas	2023M06	100,0
Total	Total fincas	2023M05	100,0
Total	Total fincas	2023M04	100,0
Total	Total fincas	2023M03	100,0
Total	Total fincas	2023M02	100,0
Total	Total fincas	2023M01	100,0
Total	Total fincas	2022M12	100,0
Total	Total fincas	2022M11	100,0
Total	Total fincas	2022M10	100,0
Total	Total fincas	2022M09	100,0
Total	Total fincas	2022M08	100,0
Total	Total fincas	2022M07	100,0
Total	Total fincas	2022M06	100,0
Total	Total fincas	2022M05	100,0
Total	Total fincas	2022M04	100,0
Total	Total fincas	2022M03	100,0
Total	Total fincas	2022M02	100,0
Total	Total fincas	2022M01	100,0
Total	Total fincas	2021M12	100,0
Total	Total fincas	2021M11	100,0
Total	Total fincas	2021M10	100,0
Total	Total fincas	2021M09	100,0
Total	Total fincas	2021M08	100,0
Total	Total fincas	2021M07	100,0
Total	Total fincas	2021M06	100,0
Total	Total fincas	2021M05	100,0
Total	Total fincas	2021M04	100,0
Total	Total fincas	2021M03	100,0
Total	Total fincas	2021M02	100,0
Total	Total fincas	2021M01	100,0
Total	Total fincas	2020M12	100,0
Total	Total fincas	2020M11	100,0
Total	Total fincas	2020M10	100,0
Total	Total fincas	2020M09	100,0
Total	Total fincas	2020M08	100,0
Total	Total fincas	2020M07	100,0
Total	Total fincas	2020M06	100,0
Total	Total fincas	2020M05	100,0
Total	Total fincas	2020M04	100,0
