Tipo de interés	Naturaleza de la finca	Periodo	Total
Total	Total fincas	2025M12	3,09
Total	Total fincas	2025M11	3,16
Total	Total fincas	2025M10	3,17
Total	Total fincas	2025M09	3,16
Total	Total fincas	2025M08	3,18
Total	Total fincas	2025M07	3,16
Total	Total fincas	2025M06	3,23
Total	Total fincas	2025M05	3,11
Total	Total fincas	2025M04	3,23
Total	Total fincas	2025M03	3,23
Total	Total fincas	2025M02	3,17
Total	Total fincas	2025M01	3,31
Total	Total fincas	2024M12	3,65
Total	Total fincas	2024M11	3,63
Total	Total fincas	2024M10	3,43
Total	Total fincas	2024M09	3,35
Total	Total fincas	2024M08	3,69
Total	Total fincas	2024M07	3,54
Total	Total fincas	2024M06	3,59
Total	Total fincas	2024M05	3,57
Total	Total fincas	2024M04	3,59
Total	Total fincas	2024M03	3,91
Total	Total fincas	2024M02	3,75
Total	Total fincas	2024M01	3,90
Total	Total fincas	2023M12	3,66
Total	Total fincas	2023M11	3,63
Total	Total fincas	2023M10	3,69
Total	Total fincas	2023M09	3,45
Total	Total fincas	2023M08	3,61
Total	Total fincas	2023M07	3,49
Total	Total fincas	2023M06	3,48
Total	Total fincas	2023M05	3,50
Total	Total fincas	2023M04	3,40
Total	Total fincas	2023M03	3,27
Total	Total fincas	2023M02	3,20
Total	Total fincas	2023M01	2,85
Total	Total fincas	2022M12	2,82
Total	Total fincas	2022M11	2,74
Total	Total fincas	2022M10	2,37
Total	Total fincas	2022M09	2,28
Total	Total fincas	2022M08	2,18
Total	Total fincas	2022M07	2,16
Total	Total fincas	2022M06	1,94
Total	Total fincas	2022M05	1,99
Total	Total fincas	2022M04	2,08
Total	Total fincas	2022M03	1,95
Total	Total fincas	2022M02	1,97
Total	Total fincas	2022M01	1,97
Total	Total fincas	2021M12	2,00
Total	Total fincas	2021M11	2,03
Total	Total fincas	2021M10	2,03
Total	Total fincas	2021M09	1,95
Total	Total fincas	2021M08	2,00
Total	Total fincas	2021M07	2,04
Total	Total fincas	2021M06	2,03
Total	Total fincas	2021M05	2,19
Total	Total fincas	2021M04	2,11
Total	Total fincas	2021M03	2,23
Total	Total fincas	2021M02	2,08
Total	Total fincas	2021M01	2,01
Total	Total fincas	2020M12	2,34
Total	Total fincas	2020M11	2,15
Total	Total fincas	2020M10	2,27
Total	Total fincas	2020M09	2,11
Total	Total fincas	2020M08	2,19
Total	Total fincas	2020M07	2,70
Total	Total fincas	2020M06	2,19
Total	Total fincas	2020M05	2,18
Total	Total fincas	2020M04	2,25
Total	Total fincas	2020M03	2,40
Total	Total fincas	2020M02	2,44
Total	Total fincas	2020M01	2,27
Total	Total fincas	2019M12	2,44
Total	Total fincas	2019M11	2,40
Total	Total fincas	2019M10	2,51
Total	Total fincas	2019M09	2,41
Total	Total fincas	2019M08	2,53
Total	Total fincas	2019M07	2,52
Total	Total fincas	2019M06	2,53
Total	Total fincas	2019M05	2,57
Total	Total fincas	2019M04	2,47
Total	Total fincas	2019M03	2,59
Total	Total fincas	2019M02	2,63
Total	Total fincas	2019M01	2,61
Total	Total fincas	2018M12	2,43
Total	Total fincas	2018M11	2,62
Total	Total fincas	2018M10	2,58
Total	Total fincas	2018M09	2,63
Total	Total fincas	2018M08	2,54
Total	Total fincas	2018M07	2,54
Total	Total fincas	2018M06	2,55
Total	Total fincas	2018M05	2,61
Total	Total fincas	2018M04	2,64
Total	Total fincas	2018M03	2,64
Total	Total fincas	2018M02	2,63
Total	Total fincas	2018M01	2,65
Total	Total fincas	2017M12	2,66
Total	Total fincas	2017M11	2,76
Total	Total fincas	2017M10	2,69
Total	Total fincas	2017M09	2,68
Total	Total fincas	2017M08	2,60
