"Housing prices"
"Index (2015=100), 2024"
"Category","Rent prices"
"Türkiye",879.732321993308
"Hungary",187.147406285259
"Lithuania",173.903133695157
"Slovenia",170.499197158346
"Poland",166.651829166296
"Ireland",166.035708301785
"Iceland",159.8362
"Estonia",157.545503938638
"United States",146.858322029118
"Austria",141.168731762965
"Colombia",140.900439090044
"Czechia",139.868939509829
"OECD",139.141711337379
"New Zealand",133.187829967262
"Canada",130.660488066049
"Portugal",129.5031
"Mexico",127.701684037289
"Belgium",125.652884423966
"United Kingdom",125.643589102725
"Netherlands",122.93819385309
"Norway",122.885912711409
"Israel",122.224471944388
"Slovak Rep.",121.35105
"Latvia",120.864506043225
"Sweden",119.156688084331
"Australia",118.345489793157
"Finland",117.169336716934
"Germany",115.03475
"Denmark",114.966488503351
"Luxembourg",112.800158460012
"Spain",110.930494453475
"Switzerland",110.91153336327
"Italy",108.466387768811
"Korea",108.442647288934
"France",107.239166957062
"Greece",102.922892280783
"Japan",99.6689824999997
