freq,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,I15_A_AVG,AT	80.00 e	78.75 e	78.43 e	77.46 e	74.73 e	83.32 e	84.88 e	86.19 e	85.55 e	86.33 e	85.98 	87.86 	91.55 	94.21 	95.98 	100.00 	105.27 	108.57 	112.62 	117.33 	124.94 	136.59 	141.45 	127.09 	122.59 
A,I15_A_AVG,BE	65.15 e	66.73 e	70.25 e	74.04 e	78.50 e	86.42 	92.35 	96.91 	98.02 	98.20 	98.68 	99.56 	99.65 	100.11 	98.99 	100.00 	100.83 	102.33 	103.29 	105.60 	109.13 	113.38 	108.19 	104.18 	105.71 
A,I15_A_AVG,BG	62.62 e	59.48 e	52.34 e	58.05 e	82.83 e	105.80 e	118.74 e	140.65 e	165.45 e	130.86 e	115.42 	105.18 	100.30 	99.51 	99.59 	100.00 b	105.25 	109.32 	113.91 	118.25 	124.37 	127.48 	125.05 b	127.03 	140.97 
A,I15_A_AVG,CY	87.07 e	86.37 e	90.38 e	100.28 e	108.68 e	114.96 	124.08 	133.59 	134.74 	125.54 	115.28 	110.17 	104.09 	100.07 	98.97 	100.00 b	101.76 	105.47 	102.71 	110.93 	118.19 	114.84 	115.16 	121.49 	128.20 
A,I15_A_AVG,CZ	65.74 e	69.55 e	77.40 e	85.12 e	82.69 e	83.84 e	88.01 e	102.14 e	110.02 	104.66 	100.45 	99.34 	96.10 	95.51 	96.74 	100.00 	106.09 	115.04 	121.42 	128.77 	135.62 	155.74 	159.28 	144.25 	146.95 
A,I15_A_AVG,DE	104.18 e	102.16 e	99.21 e	97.89 e	95.26 e	95.19 	93.71 	89.94 	89.35 	90.20 	89.70 	90.96 	92.69 	94.10 	96.00 	100.00 	106.73 	111.42 	116.87 	121.84 	130.59 	141.03 	140.17 	120.38 	115.80 
A,I15_A_AVG,DK	73.49 e	76.03 e	77.29 e	78.78 e	84.84 e	98.05 	119.01 	120.11 	110.47 	95.99 	96.35 	92.60 	88.05 	90.80 	93.64 	100.00 b	104.49 	108.63 	112.88 	114.43 	119.16 	130.47 	126.76 	118.37 	120.35 
A,I15_A_AVG,EA20	: 	: 	: 	: 	: 	104.82 	109.93 	112.43 	110.82 	108.05 	107.28 	106.06 	102.03 	98.89 	98.68 	100.00 	103.48 	106.53 	109.84 	113.31 	118.59 	125.00 	125.67 	116.92 	116.58 
A,I15_A_AVG,EA21	: 	: 	: 	: 	: 	104.66 	109.81 	112.52 	111.13 	108.19 	107.33 	106.03 	102.01 	98.87 	98.67 	100.00 	103.51 	106.60 	109.93 	113.42 	118.71 	125.13 	125.87 	117.26 	117.10 
A,I15_A_AVG,EE	: 	: 	: 	: 	: 	85.11 	120.57 	134.93 	112.95 	71.74 	73.00 	75.19 	77.38 	82.98 	93.75 	100.00 	103.13 	103.95 	106.23 	110.54 	118.81 	130.90 	136.14 	132.51 	135.99 
A,I15_A_AVG,EL	113.82 e	126.66 e	142.20 e	144.73 e	143.85 e	155.43 e	170.57 e	174.77 e	171.20 e	163.83 e	150.63 e	138.33 e	120.99 e	109.70 e	103.95 e	100.00 e	98.45 e	97.17 e	98.86 e	105.92 e	111.98 e	119.34 e	125.53 e	138.15 e	147.57 ep
A,I15_A_AVG,ES	83.85 e	88.89 e	99.86 e	113.39 e	128.24 e	138.40 e	154.45 	164.09 	156.17 	147.27 	141.89 	128.07 	106.96 	96.29 	96.47 	100.00 	104.42 	109.23 	114.97 	119.64 	122.21 	123.98 	124.89 	123.58 	129.99 
A,I15_A_AVG,EU27_2020	: 	: 	: 	: 	: 	99.52 	106.75 	112.73 	110.62 	108.27 	106.22 	104.32 	100.29 	97.54 	97.97 	100.00 	104.02 	107.33 	111.06 	115.07 	120.88 	127.74 	128.72 	120.51 	121.29 
